file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20251104.xlsx,7011,90,-2900.0,5.0,0.1
ticks_20251104.xlsx,7011,90,-4200.0,10.0,0.1
ticks_20251104.xlsx,7011,90,-3800.0,15.0,0.1
ticks_20251104.xlsx,7011,90,-4300.0,20.0,0.1
ticks_20251104.xlsx,7011,90,-5100.0,25.0,0.1
ticks_20251104.xlsx,7011,90,-4300.0,30.0,0.1
ticks_20251104.xlsx,7011,90,-3600.0,35.0,0.1
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.1
ticks_20251104.xlsx,7011,90,-2300.0,5.0,0.2
ticks_20251104.xlsx,7011,90,-4300.0,10.0,0.2
ticks_20251104.xlsx,7011,90,-4100.0,15.0,0.2
ticks_20251104.xlsx,7011,90,-4200.0,20.0,0.2
ticks_20251104.xlsx,7011,90,-5400.0,25.0,0.2
ticks_20251104.xlsx,7011,90,-5100.0,30.0,0.2
ticks_20251104.xlsx,7011,90,-4600.0,35.0,0.2
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.2
ticks_20251104.xlsx,7011,90,-2500.0,5.0,0.3
ticks_20251104.xlsx,7011,90,-4900.0,10.0,0.3
ticks_20251104.xlsx,7011,90,-5500.0,15.0,0.3
ticks_20251104.xlsx,7011,90,-4900.0,20.0,0.3
ticks_20251104.xlsx,7011,90,-5300.0,25.0,0.3
ticks_20251104.xlsx,7011,90,-5300.0,30.0,0.3
ticks_20251104.xlsx,7011,90,-4900.0,35.0,0.3
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.3
ticks_20251104.xlsx,7011,90,-3600.0,5.0,0.4
ticks_20251104.xlsx,7011,90,-6200.0,10.0,0.4
ticks_20251104.xlsx,7011,90,-6200.0,15.0,0.4
ticks_20251104.xlsx,7011,90,-5400.0,20.0,0.4
ticks_20251104.xlsx,7011,90,-5600.0,25.0,0.4
ticks_20251104.xlsx,7011,90,-5600.0,30.0,0.4
ticks_20251104.xlsx,7011,90,-4700.0,35.0,0.4
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.4
ticks_20251104.xlsx,7011,90,-1900.0,5.0,0.5
ticks_20251104.xlsx,7011,90,-4500.0,10.0,0.5
ticks_20251104.xlsx,7011,90,-4400.0,15.0,0.5
ticks_20251104.xlsx,7011,90,-5000.0,20.0,0.5
ticks_20251104.xlsx,7011,90,-4700.0,25.0,0.5
ticks_20251104.xlsx,7011,90,-4700.0,30.0,0.5
ticks_20251104.xlsx,7011,90,-4700.0,35.0,0.5
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.5
ticks_20251104.xlsx,7011,90,-2300.0,5.0,0.6
ticks_20251104.xlsx,7011,90,-5100.0,10.0,0.6
ticks_20251104.xlsx,7011,90,-4400.0,15.0,0.6
ticks_20251104.xlsx,7011,90,-4700.0,20.0,0.6
ticks_20251104.xlsx,7011,90,-4700.0,25.0,0.6
ticks_20251104.xlsx,7011,90,-4700.0,30.0,0.6
ticks_20251104.xlsx,7011,90,-4700.0,35.0,0.6
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.6
ticks_20251104.xlsx,7011,90,-3000.0,5.0,0.7
ticks_20251104.xlsx,7011,90,-5800.0,10.0,0.7
ticks_20251104.xlsx,7011,90,-4600.0,15.0,0.7
ticks_20251104.xlsx,7011,90,-4700.0,20.0,0.7
ticks_20251104.xlsx,7011,90,-4700.0,25.0,0.7
ticks_20251104.xlsx,7011,90,-4700.0,30.0,0.7
ticks_20251104.xlsx,7011,90,-4700.0,35.0,0.7
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.7
ticks_20251104.xlsx,7011,90,-3400.0,5.0,0.8
ticks_20251104.xlsx,7011,90,-6700.0,10.0,0.8
ticks_20251104.xlsx,7011,90,-4700.0,15.0,0.8
ticks_20251104.xlsx,7011,90,-4700.0,20.0,0.8
ticks_20251104.xlsx,7011,90,-4700.0,25.0,0.8
ticks_20251104.xlsx,7011,90,-4700.0,30.0,0.8
ticks_20251104.xlsx,7011,90,-4700.0,35.0,0.8
ticks_20251104.xlsx,7011,90,-4700.0,40.0,0.8
