file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20251210.xlsx,7011,42,30,300,5.0
ticks_20251210.xlsx,7011,26,45,300,-14.0
ticks_20251210.xlsx,7011,30,60,300,5.0
ticks_20251210.xlsx,7011,34,75,300,-5.0
ticks_20251210.xlsx,7011,24,90,300,14.0
ticks_20251210.xlsx,7011,24,105,300,2.0
ticks_20251210.xlsx,7011,20,120,300,-15.0
ticks_20251210.xlsx,7011,26,135,300,4.0
ticks_20251210.xlsx,7011,18,150,300,-16.0
ticks_20251210.xlsx,7011,16,165,300,-23.0
ticks_20251210.xlsx,7011,8,180,300,-5.0
ticks_20251210.xlsx,7011,38,30,360,11.0
ticks_20251210.xlsx,7011,24,45,360,-5.0
ticks_20251210.xlsx,7011,30,60,360,-14.0
ticks_20251210.xlsx,7011,26,75,360,-4.0
ticks_20251210.xlsx,7011,22,90,360,-7.0
ticks_20251210.xlsx,7011,20,105,360,-5.0
ticks_20251210.xlsx,7011,18,120,360,-23.0
ticks_20251210.xlsx,7011,20,135,360,-38.0
ticks_20251210.xlsx,7011,16,150,360,0.0
ticks_20251210.xlsx,7011,16,165,360,11.0
ticks_20251210.xlsx,7011,12,180,360,1.0
ticks_20251210.xlsx,7011,34,30,420,9.0
ticks_20251210.xlsx,7011,26,45,420,-1.0
ticks_20251210.xlsx,7011,24,60,420,-19.0
ticks_20251210.xlsx,7011,22,75,420,-16.0
ticks_20251210.xlsx,7011,24,90,420,-22.0
ticks_20251210.xlsx,7011,16,105,420,-38.0
ticks_20251210.xlsx,7011,16,120,420,-28.0
ticks_20251210.xlsx,7011,16,135,420,-49.0
ticks_20251210.xlsx,7011,14,150,420,-19.0
ticks_20251210.xlsx,7011,10,165,420,-25.0
ticks_20251210.xlsx,7011,10,180,420,-17.0
ticks_20251210.xlsx,7011,36,30,480,29.0
ticks_20251210.xlsx,7011,32,45,480,11.0
ticks_20251210.xlsx,7011,26,60,480,-30.0
ticks_20251210.xlsx,7011,22,75,480,-27.0
ticks_20251210.xlsx,7011,20,90,480,-25.0
ticks_20251210.xlsx,7011,14,105,480,-9.0
ticks_20251210.xlsx,7011,12,120,480,-52.0
ticks_20251210.xlsx,7011,14,135,480,-58.0
ticks_20251210.xlsx,7011,12,150,480,-32.0
ticks_20251210.xlsx,7011,10,165,480,2.0
ticks_20251210.xlsx,7011,10,180,480,-4.0
ticks_20251210.xlsx,7011,32,30,540,-2.0
ticks_20251210.xlsx,7011,24,45,540,-22.0
ticks_20251210.xlsx,7011,22,60,540,-34.0
ticks_20251210.xlsx,7011,20,75,540,46.0
ticks_20251210.xlsx,7011,12,90,540,0.0
ticks_20251210.xlsx,7011,12,105,540,-15.0
ticks_20251210.xlsx,7011,12,120,540,-28.0
ticks_20251210.xlsx,7011,10,135,540,-28.0
ticks_20251210.xlsx,7011,8,150,540,2.0
ticks_20251210.xlsx,7011,6,165,540,-2.0
ticks_20251210.xlsx,7011,10,180,540,-14.0
ticks_20251210.xlsx,7011,26,30,600,-4.0
ticks_20251210.xlsx,7011,20,45,600,-29.0
ticks_20251210.xlsx,7011,20,60,600,3.0
ticks_20251210.xlsx,7011,16,75,600,-3.0
ticks_20251210.xlsx,7011,14,90,600,-11.0
ticks_20251210.xlsx,7011,10,105,600,-32.0
ticks_20251210.xlsx,7011,12,120,600,-10.0
ticks_20251210.xlsx,7011,10,135,600,-8.0
ticks_20251210.xlsx,7011,6,150,600,29.0
ticks_20251210.xlsx,7011,4,165,600,16.0
ticks_20251210.xlsx,7011,8,180,600,-11.0
ticks_20251210.xlsx,7011,24,30,660,-22.0
ticks_20251210.xlsx,7011,18,45,660,-35.0
ticks_20251210.xlsx,7011,16,60,660,-16.0
ticks_20251210.xlsx,7011,16,75,660,17.0
ticks_20251210.xlsx,7011,14,90,660,-30.0
ticks_20251210.xlsx,7011,10,105,660,-31.0
ticks_20251210.xlsx,7011,10,120,660,-20.0
ticks_20251210.xlsx,7011,6,135,660,-19.0
ticks_20251210.xlsx,7011,4,150,660,8.0
ticks_20251210.xlsx,7011,6,165,660,4.0
ticks_20251210.xlsx,7011,8,180,660,-6.0
ticks_20251210.xlsx,7011,22,30,720,-4.0
ticks_20251210.xlsx,7011,18,45,720,18.0
ticks_20251210.xlsx,7011,18,60,720,11.0
ticks_20251210.xlsx,7011,14,75,720,11.0
ticks_20251210.xlsx,7011,14,90,720,9.0
ticks_20251210.xlsx,7011,12,105,720,17.0
ticks_20251210.xlsx,7011,10,120,720,1.0
ticks_20251210.xlsx,7011,12,135,720,-9.0
ticks_20251210.xlsx,7011,10,150,720,16.0
ticks_20251210.xlsx,7011,10,165,720,22.0
ticks_20251210.xlsx,7011,8,180,720,6.0
ticks_20251210.xlsx,7011,24,30,780,23.0
ticks_20251210.xlsx,7011,16,45,780,13.0
ticks_20251210.xlsx,7011,16,60,780,9.0
ticks_20251210.xlsx,7011,14,75,780,16.0
ticks_20251210.xlsx,7011,12,90,780,25.0
ticks_20251210.xlsx,7011,12,105,780,18.0
ticks_20251210.xlsx,7011,12,120,780,8.0
ticks_20251210.xlsx,7011,10,135,780,6.0
ticks_20251210.xlsx,7011,8,150,780,34.0
ticks_20251210.xlsx,7011,6,165,780,45.0
ticks_20251210.xlsx,7011,6,180,780,17.0
ticks_20251210.xlsx,7011,26,30,840,24.0
ticks_20251210.xlsx,7011,14,45,840,29.0
ticks_20251210.xlsx,7011,18,60,840,46.0
ticks_20251210.xlsx,7011,12,75,840,51.0
ticks_20251210.xlsx,7011,12,90,840,19.0
ticks_20251210.xlsx,7011,12,105,840,16.0
ticks_20251210.xlsx,7011,14,120,840,7.0
ticks_20251210.xlsx,7011,12,135,840,6.0
ticks_20251210.xlsx,7011,10,150,840,36.0
ticks_20251210.xlsx,7011,14,165,840,37.0
ticks_20251210.xlsx,7011,6,180,840,-15.0
ticks_20251210.xlsx,7011,22,30,900,48.0
ticks_20251210.xlsx,7011,16,45,900,30.0
ticks_20251210.xlsx,7011,14,60,900,13.0
ticks_20251210.xlsx,7011,12,75,900,47.0
ticks_20251210.xlsx,7011,12,90,900,54.0
ticks_20251210.xlsx,7011,12,105,900,2.0
ticks_20251210.xlsx,7011,12,120,900,25.0
ticks_20251210.xlsx,7011,12,135,900,20.0
ticks_20251210.xlsx,7011,10,150,900,22.0
ticks_20251210.xlsx,7011,6,165,900,-25.0
ticks_20251210.xlsx,7011,6,180,900,-29.0
