file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20251114.xlsx,7011,22,30,300,-27.0
ticks_20251114.xlsx,7011,22,45,300,-32.0
ticks_20251114.xlsx,7011,18,60,300,-82.0
ticks_20251114.xlsx,7011,20,75,300,-74.0
ticks_20251114.xlsx,7011,18,90,300,-50.0
ticks_20251114.xlsx,7011,18,105,300,22.0
ticks_20251114.xlsx,7011,14,120,300,7.0
ticks_20251114.xlsx,7011,14,135,300,-7.0
ticks_20251114.xlsx,7011,16,150,300,-12.0
ticks_20251114.xlsx,7011,14,165,300,-15.0
ticks_20251114.xlsx,7011,16,180,300,-4.0
ticks_20251114.xlsx,7011,28,30,360,1.0
ticks_20251114.xlsx,7011,22,45,360,-21.0
ticks_20251114.xlsx,7011,24,60,360,-72.0
ticks_20251114.xlsx,7011,18,75,360,-31.0
ticks_20251114.xlsx,7011,22,90,360,-9.0
ticks_20251114.xlsx,7011,18,105,360,50.0
ticks_20251114.xlsx,7011,14,120,360,34.0
ticks_20251114.xlsx,7011,14,135,360,23.0
ticks_20251114.xlsx,7011,8,150,360,8.0
ticks_20251114.xlsx,7011,10,165,360,-6.0
ticks_20251114.xlsx,7011,10,180,360,-1.0
ticks_20251114.xlsx,7011,28,30,420,14.0
ticks_20251114.xlsx,7011,20,45,420,-10.0
ticks_20251114.xlsx,7011,24,60,420,-68.0
ticks_20251114.xlsx,7011,18,75,420,-26.0
ticks_20251114.xlsx,7011,20,90,420,14.0
ticks_20251114.xlsx,7011,20,105,420,30.0
ticks_20251114.xlsx,7011,14,120,420,19.0
ticks_20251114.xlsx,7011,12,135,420,4.0
ticks_20251114.xlsx,7011,14,150,420,2.0
ticks_20251114.xlsx,7011,10,165,420,-1.0
ticks_20251114.xlsx,7011,12,180,420,-5.0
ticks_20251114.xlsx,7011,24,30,480,-9.0
ticks_20251114.xlsx,7011,14,45,480,-25.0
ticks_20251114.xlsx,7011,14,60,480,-64.0
ticks_20251114.xlsx,7011,18,75,480,-30.0
ticks_20251114.xlsx,7011,14,90,480,-3.0
ticks_20251114.xlsx,7011,12,105,480,26.0
ticks_20251114.xlsx,7011,6,120,480,19.0
ticks_20251114.xlsx,7011,8,135,480,-6.0
ticks_20251114.xlsx,7011,8,150,480,-1.0
ticks_20251114.xlsx,7011,8,165,480,7.0
ticks_20251114.xlsx,7011,8,180,480,5.0
ticks_20251114.xlsx,7011,26,30,540,14.0
ticks_20251114.xlsx,7011,14,45,540,-25.0
ticks_20251114.xlsx,7011,14,60,540,-79.0
ticks_20251114.xlsx,7011,14,75,540,-34.0
ticks_20251114.xlsx,7011,10,90,540,-11.0
ticks_20251114.xlsx,7011,10,105,540,23.0
ticks_20251114.xlsx,7011,8,120,540,25.0
ticks_20251114.xlsx,7011,8,135,540,-4.0
ticks_20251114.xlsx,7011,8,150,540,-4.0
ticks_20251114.xlsx,7011,6,165,540,-17.0
