file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20251106.xlsx,7011,44,30,300,-1.0
ticks_20251106.xlsx,7011,34,45,300,-3.0
ticks_20251106.xlsx,7011,38,60,300,-34.0
ticks_20251106.xlsx,7011,32,75,300,-8.0
ticks_20251106.xlsx,7011,24,90,300,-18.0
ticks_20251106.xlsx,7011,22,105,300,-12.0
ticks_20251106.xlsx,7011,20,120,300,4.0
ticks_20251106.xlsx,7011,30,135,300,11.0
ticks_20251106.xlsx,7011,28,150,300,-6.0
ticks_20251106.xlsx,7011,24,165,300,25.0
ticks_20251106.xlsx,7011,28,180,300,15.0
ticks_20251106.xlsx,7011,32,30,360,-44.0
ticks_20251106.xlsx,7011,32,45,360,-51.0
ticks_20251106.xlsx,7011,38,60,360,9.0
ticks_20251106.xlsx,7011,30,75,360,-1.0
ticks_20251106.xlsx,7011,22,90,360,18.0
ticks_20251106.xlsx,7011,24,105,360,-7.0
ticks_20251106.xlsx,7011,20,120,360,21.0
ticks_20251106.xlsx,7011,22,135,360,21.0
ticks_20251106.xlsx,7011,20,150,360,17.0
ticks_20251106.xlsx,7011,18,165,360,36.0
ticks_20251106.xlsx,7011,18,180,360,33.0
ticks_20251106.xlsx,7011,36,30,420,28.0
ticks_20251106.xlsx,7011,34,45,420,7.0
ticks_20251106.xlsx,7011,28,60,420,7.0
ticks_20251106.xlsx,7011,28,75,420,5.0
ticks_20251106.xlsx,7011,24,90,420,-7.0
ticks_20251106.xlsx,7011,28,105,420,2.0
ticks_20251106.xlsx,7011,20,120,420,26.0
ticks_20251106.xlsx,7011,18,135,420,6.0
ticks_20251106.xlsx,7011,16,150,420,46.0
ticks_20251106.xlsx,7011,16,165,420,39.0
ticks_20251106.xlsx,7011,16,180,420,31.0
ticks_20251106.xlsx,7011,36,30,480,-20.0
ticks_20251106.xlsx,7011,28,45,480,-18.0
ticks_20251106.xlsx,7011,28,60,480,-23.0
ticks_20251106.xlsx,7011,24,75,480,-34.0
ticks_20251106.xlsx,7011,26,90,480,24.0
ticks_20251106.xlsx,7011,22,105,480,5.0
