,ts,price,volume,vwap,ma1,cross1,cross2,lower,upper,profit,profit_max,drawdown,dd_ratio,n_minus,warmup
2026-02-25 09:01:03,1771977663.0925512,368.3,1175000.0,368.2510026737968,368.20666666666665,0.0,0.0,366.8499999999999,369.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:05,1771977665.0808046,368.8,1185800.0,368.27012903225807,368.21333333333325,0.0,0.0,366.8499999999999,369.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:07,1771977667.0819173,368.4,1193300.0,368.2731968503937,368.2266666666666,0.0,0.0,366.8499999999999,369.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:09,1771977669.0831227,368.3,1194000.0,368.2732558139535,368.22999999999985,0.0,0.0,366.8499999999999,369.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:11,1771977671.0932188,368.2,1197400.0,368.2724813432836,368.2166666666665,0.0,0.0,366.8499999999999,369.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:13,1771977673.080855,369.1,1231800.0,368.3524438202247,368.2166666666665,0.0,0.0,366.8499999999999,369.6500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:15,1771977675.0857246,368.9,1285600.0,368.4243289409468,368.2266666666665,0.0,0.0,366.69999999999993,369.9,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:17,1771977677.1050284,368.8,1293400.0,368.4313457854406,368.2466666666665,0.0,0.0,366.69999999999993,369.9,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:19,1771977679.110777,368.8,1293400.0,368.4313457854406,368.2833333333331,0.0,0.0,366.69999999999993,369.9,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:21,1771977681.1140652,368.8,1298800.0,368.43605200945626,368.3266666666664,0.0,0.0,366.54999999999995,370.1500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:23,1771977683.1322029,369.0,1304200.0,368.4431605975724,368.3699999999997,0.0,0.0,366.54999999999995,370.1500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:25,1771977685.1334717,369.0,1304200.0,368.4431605975724,368.4066666666664,0.0,0.0,367.05000000000007,369.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:27,1771977687.1277437,368.9,1305400.0,368.4444366852886,368.4499999999997,1.0,0.0,367.05000000000007,369.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:29,1771977689.1311653,369.1,1321300.0,368.4678338945006,368.4799999999997,0.0,0.0,367.05000000000007,369.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:31,1771977691.1372936,369.1,1322500.0,368.46953212446834,368.5066666666664,0.0,0.0,367.05000000000007,369.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:33,1771977693.1313975,369.3,1324700.0,368.4736021385609,368.54666666666634,0.0,0.0,366.9000000000001,370.0999999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:35,1771977695.1381512,369.3,1324700.0,368.4736021385609,368.593333333333,0.0,0.0,367.15,369.94999999999993,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:37,1771977697.1455476,369.3,1326900.0,368.4776324540013,368.64333333333303,0.0,0.0,367.25,370.04999999999995,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:39,1771977699.1607819,369.3,1326900.0,368.4776324540013,368.693333333333,0.0,0.0,367.25,370.04999999999995,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:41,1771977701.172729,369.3,1326900.0,368.4776324540013,368.73999999999967,0.0,0.0,367.3499999999999,370.1500000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:43,1771977703.175032,369.1,1334000.0,368.4872762985596,368.7799999999997,0.0,0.0,367.85,369.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:45,1771977705.18825,369.0,1337900.0,368.49160354901534,368.80999999999966,0.0,0.0,368.0999999999999,369.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:47,1771977707.2050831,368.9,1352500.0,368.50411160058735,368.84666666666635,0.0,0.0,368.0999999999999,369.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:49,1771977709.2072477,369.1,1354200.0,368.50622909698995,368.8799999999997,0.0,0.0,368.0999999999999,369.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:51,1771977711.2154958,368.8,1354400.0,368.5063518595905,368.883333333333,0.0,0.0,368.35,369.55000000000007,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:53,1771977713.2101986,369.5,1441200.0,368.65889635656174,368.9099999999996,0.0,0.0,368.35,369.55000000000007,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:55,1771977715.2197714,369.7,1445800.0,368.66729824561406,368.94333333333293,0.0,0.0,368.35,369.55000000000007,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:57,1771977717.2245908,369.7,1447200.0,368.6698284914246,368.973333333333,0.0,0.0,368.05,370.05,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:01:59,1771977719.2488675,369.3,1455800.0,368.6791724137931,368.98999999999967,0.0,0.0,368.05,370.05,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:01,1771977721.2526288,369.4,1459200.0,368.6833733287624,369.0166666666663,0.0,0.0,368.05,370.05,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:03,1771977723.271842,369.3,1463800.0,368.68819727891156,369.0499999999996,0.0,0.0,368.05,370.05,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:05,1771977725.2886395,369.4,1471500.0,368.69739801913715,369.06999999999965,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:07,1771977727.2819486,369.3,1475900.0,368.7018163639393,369.0999999999996,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:09,1771977729.2837906,369.5,1477200.0,368.70354173594944,369.13999999999965,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:11,1771977731.2994037,369.4,1479100.0,368.7057351234875,369.1799999999996,0.0,0.0,368.54999999999995,369.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:13,1771977733.3051822,369.3,1479300.0,368.70593206296604,369.18666666666627,0.0,0.0,368.54999999999995,369.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:15,1771977735.3232584,369.4,1484100.0,368.71140884432026,369.2033333333329,0.0,0.0,368.40000000000003,369.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:17,1771977737.340541,369.1,1539700.0,368.74395240247026,369.21333333333297,0.0,0.0,368.40000000000003,369.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:19,1771977739.334496,369.1,1540300.0,368.74427389014295,369.223333333333,0.0,0.0,368.6500000000001,369.8499999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:21,1771977741.3341522,368.9,1607300.0,368.75853725222146,369.22666666666635,0.0,0.0,368.6500000000001,369.8499999999999,0.0,0.0,0.0,0.0,0.0,1.0
