file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20251007.xlsx,7011,36,60,500,36.0
ticks_20251007.xlsx,7011,36,90,500,101.0
ticks_20251007.xlsx,7011,32,120,500,170.0
ticks_20251007.xlsx,7011,18,150,500,103.0
ticks_20251007.xlsx,7011,20,180,500,260.0
ticks_20251007.xlsx,7011,38,60,600,48.0
ticks_20251007.xlsx,7011,30,90,600,130.0
ticks_20251007.xlsx,7011,24,120,600,84.0
ticks_20251007.xlsx,7011,18,150,600,18.0
ticks_20251007.xlsx,7011,14,180,600,134.0
ticks_20251007.xlsx,7011,42,60,700,70.0
ticks_20251007.xlsx,7011,28,90,700,153.0
ticks_20251007.xlsx,7011,22,120,700,179.0
ticks_20251007.xlsx,7011,14,150,700,49.0
ticks_20251007.xlsx,7011,14,180,700,202.0
ticks_20251007.xlsx,7011,36,60,800,46.0
ticks_20251007.xlsx,7011,18,90,800,144.0
ticks_20251007.xlsx,7011,24,120,800,243.0
ticks_20251007.xlsx,7011,20,150,800,185.0
ticks_20251007.xlsx,7011,20,180,800,255.0
ticks_20251007.xlsx,7011,26,60,900,41.0
ticks_20251007.xlsx,7011,20,90,900,193.0
ticks_20251007.xlsx,7011,18,120,900,189.0
ticks_20251007.xlsx,7011,14,150,900,178.0
ticks_20251007.xlsx,7011,12,180,900,242.0
