file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20251117.xlsx,7011,16,60,500,-31.0
ticks_20251117.xlsx,7011,14,90,500,-21.0
ticks_20251117.xlsx,7011,12,120,500,-14.0
ticks_20251117.xlsx,7011,6,150,500,2.0
ticks_20251117.xlsx,7011,6,180,500,-2.0
ticks_20251117.xlsx,7011,20,60,600,-66.0
ticks_20251117.xlsx,7011,6,90,600,7.0
ticks_20251117.xlsx,7011,14,120,600,-15.0
ticks_20251117.xlsx,7011,10,150,600,-4.0
ticks_20251117.xlsx,7011,4,180,600,4.0
ticks_20251117.xlsx,7011,20,60,700,-71.0
ticks_20251117.xlsx,7011,10,90,700,-5.0
ticks_20251117.xlsx,7011,12,120,700,-12.0
ticks_20251117.xlsx,7011,8,150,700,-14.0
ticks_20251117.xlsx,7011,4,180,700,3.0
ticks_20251117.xlsx,7011,22,60,800,-59.0
ticks_20251117.xlsx,7011,10,90,800,3.0
ticks_20251117.xlsx,7011,12,120,800,-9.0
ticks_20251117.xlsx,7011,4,150,800,4.0
ticks_20251117.xlsx,7011,4,180,800,3.0
ticks_20251117.xlsx,7011,20,60,900,-55.0
ticks_20251117.xlsx,7011,10,90,900,0.0
ticks_20251117.xlsx,7011,12,120,900,-21.0
ticks_20251117.xlsx,7011,6,150,900,-19.0
ticks_20251117.xlsx,7011,6,180,900,0.0
