file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20251014.xlsx,7011,100,30,300,15,1,-25.0
ticks_20251014.xlsx,7011,100,60,300,15,1,-79.0
ticks_20251014.xlsx,7011,100,90,300,15,1,-58.0
ticks_20251014.xlsx,7011,100,30,600,15,1,-6.0
ticks_20251014.xlsx,7011,100,60,600,15,1,-60.0
ticks_20251014.xlsx,7011,100,90,600,15,1,-130.0
ticks_20251014.xlsx,7011,100,30,900,15,1,23.0
ticks_20251014.xlsx,7011,100,60,900,15,1,-76.0
ticks_20251014.xlsx,7011,100,90,900,15,1,-93.0
ticks_20251014.xlsx,7011,100,30,300,30,1,-25.0
ticks_20251014.xlsx,7011,100,60,300,30,1,-79.0
ticks_20251014.xlsx,7011,100,90,300,30,1,-60.0
ticks_20251014.xlsx,7011,100,30,600,30,1,-3.0
ticks_20251014.xlsx,7011,100,60,600,30,1,-58.0
ticks_20251014.xlsx,7011,100,90,600,30,1,-124.0
ticks_20251014.xlsx,7011,100,30,900,30,1,19.0
ticks_20251014.xlsx,7011,100,60,900,30,1,-76.0
ticks_20251014.xlsx,7011,100,90,900,30,1,-95.0
ticks_20251014.xlsx,7011,100,30,300,45,1,-25.0
ticks_20251014.xlsx,7011,100,60,300,45,1,-79.0
ticks_20251014.xlsx,7011,100,90,300,45,1,-60.0
ticks_20251014.xlsx,7011,100,30,600,45,1,-3.0
ticks_20251014.xlsx,7011,100,60,600,45,1,-58.0
ticks_20251014.xlsx,7011,100,90,600,45,1,-124.0
ticks_20251014.xlsx,7011,100,30,900,45,1,19.0
ticks_20251014.xlsx,7011,100,60,900,45,1,-76.0
ticks_20251014.xlsx,7011,100,90,900,45,1,-95.0
ticks_20251014.xlsx,7011,90,30,300,15,4,-22.0
ticks_20251014.xlsx,7011,76,60,300,15,4,-69.0
ticks_20251014.xlsx,7011,54,90,300,15,4,-23.0
ticks_20251014.xlsx,7011,60,30,600,15,4,78.0
ticks_20251014.xlsx,7011,48,60,600,15,4,-60.0
ticks_20251014.xlsx,7011,42,90,600,15,4,-48.0
ticks_20251014.xlsx,7011,54,30,900,15,4,75.0
ticks_20251014.xlsx,7011,42,60,900,15,4,10.0
ticks_20251014.xlsx,7011,24,90,900,15,4,-58.0
ticks_20251014.xlsx,7011,100,30,300,30,4,-3.0
ticks_20251014.xlsx,7011,100,60,300,30,4,-71.0
ticks_20251014.xlsx,7011,100,90,300,30,4,-76.0
ticks_20251014.xlsx,7011,100,30,600,30,4,24.0
ticks_20251014.xlsx,7011,100,60,600,30,4,-69.0
ticks_20251014.xlsx,7011,90,90,600,30,4,-125.0
ticks_20251014.xlsx,7011,100,30,900,30,4,18.0
ticks_20251014.xlsx,7011,84,60,900,30,4,-58.0
ticks_20251014.xlsx,7011,62,90,900,30,4,-35.0
ticks_20251014.xlsx,7011,100,30,300,45,4,-12.0
ticks_20251014.xlsx,7011,100,60,300,45,4,-65.0
ticks_20251014.xlsx,7011,100,90,300,45,4,-57.0
ticks_20251014.xlsx,7011,100,30,600,45,4,26.0
ticks_20251014.xlsx,7011,100,60,600,45,4,-60.0
ticks_20251014.xlsx,7011,100,90,600,45,4,-80.0
ticks_20251014.xlsx,7011,100,30,900,45,4,25.0
ticks_20251014.xlsx,7011,100,60,900,45,4,-64.0
ticks_20251014.xlsx,7011,86,90,900,45,4,-64.0
ticks_20251014.xlsx,7011,26,30,300,15,7,86.0
ticks_20251014.xlsx,7011,20,60,300,15,7,-38.0
ticks_20251014.xlsx,7011,10,90,300,15,7,24.0
ticks_20251014.xlsx,7011,16,30,600,15,7,76.0
ticks_20251014.xlsx,7011,12,60,600,15,7,-22.0
ticks_20251014.xlsx,7011,8,90,600,15,7,-24.0
ticks_20251014.xlsx,7011,12,30,900,15,7,30.0
ticks_20251014.xlsx,7011,16,60,900,15,7,-47.0
ticks_20251014.xlsx,7011,8,90,900,15,7,-35.0
ticks_20251014.xlsx,7011,80,30,300,30,7,-9.0
ticks_20251014.xlsx,7011,54,60,300,30,7,-63.0
ticks_20251014.xlsx,7011,34,90,300,30,7,-25.0
ticks_20251014.xlsx,7011,54,30,600,30,7,35.0
ticks_20251014.xlsx,7011,40,60,600,30,7,-17.0
ticks_20251014.xlsx,7011,28,90,600,30,7,-28.0
ticks_20251014.xlsx,7011,36,30,900,30,7,-3.0
ticks_20251014.xlsx,7011,32,60,900,30,7,-35.0
ticks_20251014.xlsx,7011,20,90,900,30,7,-16.0
ticks_20251014.xlsx,7011,100,30,300,45,7,-11.0
ticks_20251014.xlsx,7011,96,60,300,45,7,-60.0
ticks_20251014.xlsx,7011,66,90,300,45,7,-60.0
ticks_20251014.xlsx,7011,88,30,600,45,7,-35.0
ticks_20251014.xlsx,7011,64,60,600,45,7,-43.0
ticks_20251014.xlsx,7011,52,90,600,45,7,-27.0
ticks_20251014.xlsx,7011,52,30,900,45,7,-40.0
ticks_20251014.xlsx,7011,50,60,900,45,7,-90.0
ticks_20251014.xlsx,7011,34,90,900,45,7,-3.0
