file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20250911.xlsx,7011,100,30,300,15,1,-37.0
ticks_20250911.xlsx,7011,100,60,300,15,1,4.0
ticks_20250911.xlsx,7011,100,90,300,15,1,54.0
ticks_20250911.xlsx,7011,100,30,600,15,1,-16.0
ticks_20250911.xlsx,7011,100,60,600,15,1,-22.0
ticks_20250911.xlsx,7011,100,90,600,15,1,30.0
ticks_20250911.xlsx,7011,100,30,900,15,1,-1.0
ticks_20250911.xlsx,7011,86,60,900,15,1,25.0
ticks_20250911.xlsx,7011,76,90,900,15,1,14.0
ticks_20250911.xlsx,7011,100,30,300,30,1,-32.0
ticks_20250911.xlsx,7011,100,60,300,30,1,4.0
ticks_20250911.xlsx,7011,100,90,300,30,1,57.0
ticks_20250911.xlsx,7011,100,30,600,30,1,-21.0
ticks_20250911.xlsx,7011,100,60,600,30,1,4.0
ticks_20250911.xlsx,7011,100,90,600,30,1,48.0
ticks_20250911.xlsx,7011,100,30,900,30,1,4.0
ticks_20250911.xlsx,7011,100,60,900,30,1,18.0
ticks_20250911.xlsx,7011,82,90,900,30,1,10.0
ticks_20250911.xlsx,7011,100,30,300,45,1,-32.0
ticks_20250911.xlsx,7011,100,60,300,45,1,4.0
ticks_20250911.xlsx,7011,100,90,300,45,1,60.0
ticks_20250911.xlsx,7011,100,30,600,45,1,-21.0
ticks_20250911.xlsx,7011,100,60,600,45,1,4.0
ticks_20250911.xlsx,7011,100,90,600,45,1,45.0
ticks_20250911.xlsx,7011,100,30,900,45,1,4.0
ticks_20250911.xlsx,7011,100,60,900,45,1,17.0
ticks_20250911.xlsx,7011,86,90,900,45,1,7.0
ticks_20250911.xlsx,7011,28,30,300,15,4,-29.0
ticks_20250911.xlsx,7011,16,60,300,15,4,14.0
ticks_20250911.xlsx,7011,10,90,300,15,4,16.0
ticks_20250911.xlsx,7011,16,30,600,15,4,-25.0
ticks_20250911.xlsx,7011,8,60,600,15,4,15.0
ticks_20250911.xlsx,7011,6,90,600,15,4,36.0
ticks_20250911.xlsx,7011,2,30,900,15,4,-6.0
ticks_20250911.xlsx,7011,6,60,900,15,4,12.0
ticks_20250911.xlsx,7011,10,90,900,15,4,16.0
ticks_20250911.xlsx,7011,60,30,300,30,4,-47.0
ticks_20250911.xlsx,7011,42,60,300,30,4,-11.0
ticks_20250911.xlsx,7011,24,90,300,30,4,33.0
ticks_20250911.xlsx,7011,46,30,600,30,4,-19.0
ticks_20250911.xlsx,7011,18,60,600,30,4,-8.0
ticks_20250911.xlsx,7011,24,90,600,30,4,15.0
ticks_20250911.xlsx,7011,32,30,900,30,4,10.0
ticks_20250911.xlsx,7011,14,60,900,30,4,12.0
ticks_20250911.xlsx,7011,16,90,900,30,4,11.0
ticks_20250911.xlsx,7011,84,30,300,45,4,-67.0
ticks_20250911.xlsx,7011,52,60,300,45,4,-3.0
ticks_20250911.xlsx,7011,46,90,300,45,4,16.0
ticks_20250911.xlsx,7011,72,30,600,45,4,-44.0
ticks_20250911.xlsx,7011,42,60,600,45,4,-2.0
ticks_20250911.xlsx,7011,34,90,600,45,4,29.0
ticks_20250911.xlsx,7011,48,30,900,45,4,-1.0
ticks_20250911.xlsx,7011,32,60,900,45,4,37.0
ticks_20250911.xlsx,7011,24,90,900,45,4,23.0
ticks_20250911.xlsx,7011,6,30,300,15,7,-3.0
ticks_20250911.xlsx,7011,2,60,300,15,7,21.0
ticks_20250911.xlsx,7011,0,90,300,15,7,0.0
ticks_20250911.xlsx,7011,4,30,600,15,7,-6.0
ticks_20250911.xlsx,7011,2,60,600,15,7,21.0
ticks_20250911.xlsx,7011,0,90,600,15,7,0.0
ticks_20250911.xlsx,7011,0,30,900,15,7,0.0
ticks_20250911.xlsx,7011,2,60,900,15,7,20.0
ticks_20250911.xlsx,7011,0,90,900,15,7,0.0
ticks_20250911.xlsx,7011,14,30,300,30,7,-24.0
ticks_20250911.xlsx,7011,8,60,300,30,7,3.0
ticks_20250911.xlsx,7011,4,90,300,30,7,26.0
ticks_20250911.xlsx,7011,10,30,600,30,7,-13.0
ticks_20250911.xlsx,7011,4,60,600,30,7,11.0
ticks_20250911.xlsx,7011,2,90,600,30,7,26.0
ticks_20250911.xlsx,7011,6,30,900,30,7,-7.0
ticks_20250911.xlsx,7011,2,60,900,30,7,16.0
ticks_20250911.xlsx,7011,4,90,900,30,7,23.0
ticks_20250911.xlsx,7011,22,30,300,45,7,-33.0
ticks_20250911.xlsx,7011,12,60,300,45,7,-14.0
ticks_20250911.xlsx,7011,12,90,300,45,7,9.0
ticks_20250911.xlsx,7011,18,30,600,45,7,-17.0
ticks_20250911.xlsx,7011,8,60,600,45,7,-3.0
ticks_20250911.xlsx,7011,6,90,600,45,7,21.0
ticks_20250911.xlsx,7011,10,30,900,45,7,-1.0
ticks_20250911.xlsx,7011,6,60,900,45,7,12.0
ticks_20250911.xlsx,7011,6,90,900,45,7,25.0
