file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20251008.xlsx,7011,100,30,300,15,1,12.0
ticks_20251008.xlsx,7011,100,60,300,15,1,-89.0
ticks_20251008.xlsx,7011,100,90,300,15,1,-151.0
ticks_20251008.xlsx,7011,100,30,600,15,1,85.0
ticks_20251008.xlsx,7011,100,60,600,15,1,-31.0
ticks_20251008.xlsx,7011,100,90,600,15,1,-80.0
ticks_20251008.xlsx,7011,100,30,900,15,1,16.0
ticks_20251008.xlsx,7011,100,60,900,15,1,8.0
ticks_20251008.xlsx,7011,96,90,900,15,1,-49.0
ticks_20251008.xlsx,7011,100,30,300,30,1,12.0
ticks_20251008.xlsx,7011,100,60,300,30,1,-89.0
ticks_20251008.xlsx,7011,100,90,300,30,1,-161.0
ticks_20251008.xlsx,7011,100,30,600,30,1,70.0
ticks_20251008.xlsx,7011,100,60,600,30,1,-31.0
ticks_20251008.xlsx,7011,100,90,600,30,1,-80.0
ticks_20251008.xlsx,7011,100,30,900,30,1,4.0
ticks_20251008.xlsx,7011,100,60,900,30,1,2.0
ticks_20251008.xlsx,7011,100,90,900,30,1,-37.0
ticks_20251008.xlsx,7011,100,30,300,45,1,12.0
ticks_20251008.xlsx,7011,100,60,300,45,1,-80.0
ticks_20251008.xlsx,7011,100,90,300,45,1,-161.0
ticks_20251008.xlsx,7011,100,30,600,45,1,70.0
ticks_20251008.xlsx,7011,100,60,600,45,1,-31.0
ticks_20251008.xlsx,7011,100,90,600,45,1,-80.0
ticks_20251008.xlsx,7011,100,30,900,45,1,4.0
ticks_20251008.xlsx,7011,100,60,900,45,1,2.0
ticks_20251008.xlsx,7011,100,90,900,45,1,-37.0
ticks_20251008.xlsx,7011,42,30,300,15,4,6.0
ticks_20251008.xlsx,7011,34,60,300,15,4,-62.0
ticks_20251008.xlsx,7011,32,90,300,15,4,-86.0
ticks_20251008.xlsx,7011,30,30,600,15,4,40.0
ticks_20251008.xlsx,7011,28,60,600,15,4,-2.0
ticks_20251008.xlsx,7011,32,90,600,15,4,-28.0
ticks_20251008.xlsx,7011,34,30,900,15,4,57.0
ticks_20251008.xlsx,7011,18,60,900,15,4,23.0
ticks_20251008.xlsx,7011,18,90,900,15,4,6.0
ticks_20251008.xlsx,7011,90,30,300,30,4,45.0
ticks_20251008.xlsx,7011,68,60,300,30,4,-21.0
ticks_20251008.xlsx,7011,56,90,300,30,4,-52.0
ticks_20251008.xlsx,7011,72,30,600,30,4,70.0
ticks_20251008.xlsx,7011,52,60,600,30,4,15.0
ticks_20251008.xlsx,7011,52,90,600,30,4,-59.0
ticks_20251008.xlsx,7011,80,30,900,30,4,1.0
ticks_20251008.xlsx,7011,50,60,900,30,4,-11.0
ticks_20251008.xlsx,7011,36,90,900,30,4,-39.0
ticks_20251008.xlsx,7011,100,30,300,45,4,8.0
ticks_20251008.xlsx,7011,100,60,300,45,4,-52.0
ticks_20251008.xlsx,7011,88,90,300,45,4,-97.0
ticks_20251008.xlsx,7011,96,30,600,45,4,65.0
ticks_20251008.xlsx,7011,74,60,600,45,4,10.0
ticks_20251008.xlsx,7011,64,90,600,45,4,-58.0
ticks_20251008.xlsx,7011,90,30,900,45,4,0.0
ticks_20251008.xlsx,7011,70,60,900,45,4,-3.0
ticks_20251008.xlsx,7011,50,90,900,45,4,-47.0
ticks_20251008.xlsx,7011,14,30,300,15,7,6.0
ticks_20251008.xlsx,7011,16,60,300,15,7,-24.0
ticks_20251008.xlsx,7011,12,90,300,15,7,-25.0
ticks_20251008.xlsx,7011,10,30,600,15,7,60.0
ticks_20251008.xlsx,7011,12,60,600,15,7,24.0
ticks_20251008.xlsx,7011,6,90,600,15,7,22.0
ticks_20251008.xlsx,7011,8,30,900,15,7,54.0
ticks_20251008.xlsx,7011,8,60,900,15,7,38.0
ticks_20251008.xlsx,7011,6,90,900,15,7,34.0
ticks_20251008.xlsx,7011,32,30,300,30,7,-1.0
ticks_20251008.xlsx,7011,26,60,300,30,7,-65.0
ticks_20251008.xlsx,7011,28,90,300,30,7,-66.0
ticks_20251008.xlsx,7011,20,30,600,30,7,26.0
ticks_20251008.xlsx,7011,20,60,600,30,7,65.0
ticks_20251008.xlsx,7011,22,90,600,30,7,-12.0
ticks_20251008.xlsx,7011,20,30,900,30,7,25.0
ticks_20251008.xlsx,7011,20,60,900,30,7,47.0
ticks_20251008.xlsx,7011,14,90,900,30,7,15.0
ticks_20251008.xlsx,7011,44,30,300,45,7,15.0
ticks_20251008.xlsx,7011,44,60,300,45,7,-41.0
ticks_20251008.xlsx,7011,38,90,300,45,7,-103.0
ticks_20251008.xlsx,7011,30,30,600,45,7,28.0
ticks_20251008.xlsx,7011,34,60,600,45,7,33.0
ticks_20251008.xlsx,7011,28,90,600,45,7,-22.0
ticks_20251008.xlsx,7011,30,30,900,45,7,4.0
ticks_20251008.xlsx,7011,28,60,900,45,7,28.0
ticks_20251008.xlsx,7011,20,90,900,45,7,-5.0
