,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,6,97.0
1,ticks_20250820.xlsx,62,-40.0
2,ticks_20250821.xlsx,18,25.0
3,ticks_20250822.xlsx,20,18.0
4,ticks_20250825.xlsx,100,-49.0
5,ticks_20250826.xlsx,26,45.0
6,ticks_20250827.xlsx,42,-3.0
7,ticks_20250828.xlsx,78,31.0
8,ticks_20250829.xlsx,34,16.0
9,ticks_20250901.xlsx,24,89.0
10,ticks_20250902.xlsx,14,48.0
11,ticks_20250903.xlsx,100,-28.0
12,ticks_20250904.xlsx,100,-7.0
13,ticks_20250905.xlsx,44,-61.0
14,ticks_20250908.xlsx,20,115.0
15,ticks_20250909.xlsx,54,16.0
16,ticks_20250910.xlsx,26,-14.0
17,ticks_20250911.xlsx,20,-18.0
18,ticks_20250912.xlsx,100,-41.0
19,ticks_20250916.xlsx,64,-1.0
20,ticks_20250917.xlsx,100,-42.0
21,ticks_20250918.xlsx,20,35.0
22,ticks_20250919.xlsx,78,-12.0
23,ticks_20250922.xlsx,30,51.0
24,ticks_20250924.xlsx,100,-132.0
25,ticks_20250925.xlsx,20,46.0
26,ticks_20250926.xlsx,16,64.0
27,ticks_20250929.xlsx,54,-46.0
28,ticks_20250930.xlsx,20,20.0
29,ticks_20251001.xlsx,28,53.0
30,ticks_20251002.xlsx,100,10.0
31,ticks_20251003.xlsx,46,-23.0
32,ticks_20251006.xlsx,100,75.0
33,ticks_20251007.xlsx,18,54.0
34,ticks_20251008.xlsx,34,27.0
35,ticks_20251009.xlsx,4,117.0
36,ticks_20251010.xlsx,8,86.0
37,ticks_20251014.xlsx,32,62.0
38,ticks_20251015.xlsx,44,-12.0
39,ticks_20251016.xlsx,14,-21.0
40,ticks_20251017.xlsx,68,-63.0
41,ticks_20251020.xlsx,100,-37.0
42,ticks_20251021.xlsx,32,184.0
43,ticks_20251022.xlsx,70,-81.0
44,ticks_20251023.xlsx,34,-78.0
45,ticks_20251024.xlsx,6,45.0
46,ticks_20251027.xlsx,16,50.0
47,ticks_20251028.xlsx,30,141.0
48,ticks_20251029.xlsx,8,88.0
49,ticks_20251030.xlsx,100,-91.0
50,ticks_20251031.xlsx,100,1.0
51,ticks_20251104.xlsx,26,86.0
52,ticks_20251105.xlsx,4,30.0
53,ticks_20251106.xlsx,56,-53.0
54,ticks_20251107.xlsx,10,92.0
55,ticks_20251110.xlsx,100,-18.0
56,ticks_20251111.xlsx,56,64.0
57,ticks_20251112.xlsx,100,-48.0
58,ticks_20251113.xlsx,48,-13.0
59,ticks_20251114.xlsx,100,-61.0
60,ticks_20251117.xlsx,100,-45.0
61,ticks_20251118.xlsx,28,110.0
