,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,188,62.0
1,ticks_20250820.xlsx,60,-22.0
2,ticks_20250821.xlsx,10,37.0
3,ticks_20250822.xlsx,28,26.0
4,ticks_20250825.xlsx,2,44.0
5,ticks_20250826.xlsx,18,42.0
6,ticks_20250827.xlsx,22,30.0
7,ticks_20250828.xlsx,100,-93.0
8,ticks_20250829.xlsx,32,7.0
9,ticks_20250901.xlsx,42,-11.0
10,ticks_20250902.xlsx,4,56.0
11,ticks_20250903.xlsx,22,124.0
12,ticks_20250904.xlsx,52,-9.0
13,ticks_20250905.xlsx,36,-41.0
14,ticks_20250908.xlsx,64,-6.0
15,ticks_20250909.xlsx,46,10.0
16,ticks_20250910.xlsx,24,-2.0
17,ticks_20250911.xlsx,16,-10.0
18,ticks_20250912.xlsx,34,11.0
19,ticks_20250916.xlsx,40,18.0
20,ticks_20250917.xlsx,24,44.0
21,ticks_20250918.xlsx,14,35.0
22,ticks_20250919.xlsx,30,27.0
23,ticks_20250922.xlsx,26,42.0
24,ticks_20250924.xlsx,120,-186.0
25,ticks_20250925.xlsx,30,47.0
26,ticks_20250926.xlsx,32,-19.0
27,ticks_20250929.xlsx,92,-34.0
28,ticks_20250930.xlsx,44,32.0
29,ticks_20251001.xlsx,16,51.0
30,ticks_20251002.xlsx,32,38.0
31,ticks_20251003.xlsx,68,-14.0
32,ticks_20251006.xlsx,158,80.0
33,ticks_20251007.xlsx,52,75.0
34,ticks_20251008.xlsx,72,-107.0
35,ticks_20251009.xlsx,200,89.0
36,ticks_20251010.xlsx,50,70.0
37,ticks_20251014.xlsx,46,75.0
38,ticks_20251015.xlsx,90,-123.0
39,ticks_20251016.xlsx,54,-22.0
40,ticks_20251017.xlsx,90,-45.0
41,ticks_20251020.xlsx,50,-16.0
42,ticks_20251021.xlsx,12,189.0
43,ticks_20251022.xlsx,52,-15.0
44,ticks_20251023.xlsx,72,-67.0
45,ticks_20251024.xlsx,14,61.0
46,ticks_20251027.xlsx,24,15.0
47,ticks_20251028.xlsx,56,40.0
48,ticks_20251029.xlsx,10,93.0
49,ticks_20251030.xlsx,54,-76.0
50,ticks_20251031.xlsx,144,-171.0
51,ticks_20251104.xlsx,6,114.0
52,ticks_20251105.xlsx,18,35.0
53,ticks_20251106.xlsx,44,-49.0
54,ticks_20251107.xlsx,12,97.0
