,ファイル,取引回数,総損益
0,ticks_20250819.xlsx,4,99.0
1,ticks_20250820.xlsx,72,-23.0
2,ticks_20250821.xlsx,6,39.0
3,ticks_20250822.xlsx,10,30.0
4,ticks_20250903.xlsx,24,127.0
5,ticks_20250904.xlsx,22,-5.0
6,ticks_20250905.xlsx,46,-49.0
7,ticks_20250908.xlsx,84,32.0
8,ticks_20250909.xlsx,38,3.0
9,ticks_20250910.xlsx,14,0.0
10,ticks_20250911.xlsx,24,-12.0
11,ticks_20250912.xlsx,40,11.0
12,ticks_20250916.xlsx,32,16.0
13,ticks_20250917.xlsx,30,46.0
14,ticks_20250918.xlsx,10,31.0
15,ticks_20250919.xlsx,42,23.0
16,ticks_20250922.xlsx,24,41.0
17,ticks_20250924.xlsx,144,-178.0
18,ticks_20250925.xlsx,28,36.0
19,ticks_20250926.xlsx,34,-24.0
20,ticks_20250929.xlsx,76,-40.0
21,ticks_20250930.xlsx,30,28.0
22,ticks_20251001.xlsx,16,54.0
23,ticks_20251002.xlsx,2,39.0
24,ticks_20251003.xlsx,56,-10.0
25,ticks_20251006.xlsx,220,-19.0
26,ticks_20251007.xlsx,26,69.0
27,ticks_20251008.xlsx,64,-109.0
28,ticks_20251009.xlsx,134,155.0
29,ticks_20251010.xlsx,62,66.0
30,ticks_20251014.xlsx,38,82.0
31,ticks_20251015.xlsx,184,-165.0
32,ticks_20251016.xlsx,16,-22.0
33,ticks_20251017.xlsx,90,-63.0
34,ticks_20251020.xlsx,76,-25.0
35,ticks_20251021.xlsx,120,180.0
36,ticks_20251022.xlsx,42,-45.0
37,ticks_20251023.xlsx,50,-70.0
38,ticks_20251024.xlsx,14,58.0
39,ticks_20251027.xlsx,16,41.0
40,ticks_20251028.xlsx,56,35.0
41,ticks_20251029.xlsx,8,89.0
42,ticks_20251031.xlsx,166,-213.0
43,ticks_20251104.xlsx,8,106.0
44,ticks_20251105.xlsx,62,41.0
45,ticks_20251106.xlsx,74,-56.0
46,ticks_20251107.xlsx,10,94.0
47,ticks_20251110.xlsx,72,28.0
