epoch,episode_reward,pnl_total,approx_kl,clipfrac
1,-456.46529999996613,-17.0,0.011909219632461044,0.17207126036311024
2,-213.98539999999088,22.0,0.0039780773971966445,0.18787844337843704
3,-179.77289999999792,127.0,0.0027049452459660516,0.17005869351475444
4,-197.22609999998264,43.0,0.003506201393119775,0.16359227146978014
5,-141.37550000000792,132.0,0.003233155107523842,0.16401885697827828
6,-119.48200000000871,139.0,0.0022655707921138773,0.1486810970163306
7,-306.2658999999802,-8.0,0.0025724284094527042,0.15223162134011456
8,-261.5962999999868,25.0,0.0018351606294712813,0.17752857020260482
9,-236.023199999988,49.0,0.0010896363198858938,0.1708181792167046
10,-112.93340000000644,144.0,0.0010659032765961336,0.16313566774475258
11,-321.21449999997975,-29.0,0.0017697939780095147,0.17320133845587046
12,-324.4794999999662,-34.0,0.0018578414209731282,0.18484366440911168
13,-223.68679999998338,59.0,0.0016790624071507782,0.19151696913092342
14,-117.86890000000997,121.0,0.0016932535093516306,0.180767593263889
15,-114.18640000000511,171.0,0.0008800554691128886,0.2063349165417106
16,-187.17099999999425,44.0,0.0021124424167150487,0.2049672105257085
17,-294.5203999999726,6.0,0.0030625271270005726,0.1850530518749297
18,-192.55309999999383,58.0,0.0018498647079456308,0.1717819023494985
19,-213.64769999998686,85.0,0.002083106332508355,0.15318719366725708
20,-291.5778999999738,-32.0,0.0016008363838879228,0.18908080362424945
21,-224.82629999997854,40.0,0.001258749496146446,0.18813884265671502
22,-197.7234999999919,67.0,0.0020114018571736917,0.18208495734123797
23,-213.80199999999783,85.0,0.0017875925426634293,0.17322585789721137
24,-110.98430000000576,139.0,0.0014054184322344102,0.17040631138035003
25,-241.24589999999824,63.0,0.0022468494330586818,0.18564619054857467
26,-188.65830000000304,51.0,0.0021333575431050867,0.1954993105660014
27,-283.627599999975,26.0,0.0016840609245962889,0.13818258480076365
28,-130.9678000000094,106.0,0.001865496922968401,0.1602179097961511
29,-279.1875999999945,27.0,0.002598145146577061,0.16697039057975574
30,-198.5066999999938,74.0,0.0021406192134368843,0.18233867486729133
31,-300.4400999999791,10.0,0.0014766340542662524,0.1667074811157604
32,-222.8920999999935,26.0,0.0009135166543779898,0.175461033112462
33,-154.30760000000328,145.0,0.0013404037879881316,0.13494594867606433
34,-90.83280000001159,150.0,0.0012627348591652946,0.18250138081906253
35,-91.14140000000504,194.0,0.0012250729917570955,0.16435901745413709
36,-162.58899999999716,121.0,0.0014089514175998526,0.19360745853639597
37,-262.204399999983,18.0,0.000997822458234412,0.1562826776667344
