epoch,episode_reward,pnl_total,approx_kl,clipfrac
1,-422.21709999997006,12.0,0.012858804711246003,0.20786134958095653
2,-82.7232000000187,111.0,0.0065814903483968875,0.2511804993264377
3,-209.35179999999238,123.0,0.004070399805569698,0.2078703428422542
4,-153.84320000000127,66.0,0.006565377064170637,0.2265000015766801
5,-314.4811999999783,9.0,0.0035733597559508205,0.1993585420698908
6,-178.1487999999917,34.0,0.0029847376605941557,0.21097748040368683
7,-229.99779999998663,82.0,0.002635232188215229,0.1861948295692472
8,-189.60279999999557,60.0,0.0021595279190837332,0.22470881499497122
9,-305.5111999999795,3.0,0.0029674088268620835,0.18844254055109463
10,-182.29789999998994,41.0,0.002023936750638792,0.19214459503755757
11,-100.00140000000837,156.0,0.0023309578489620194,0.20873184183514432
12,-211.12229999999275,61.0,0.002528152936998882,0.24687612304267914
13,-175.73759999999368,82.0,0.0008367859541067446,0.2171558557004717
14,-80.87980000000874,169.0,0.0018734644189575384,0.20981770017380386
15,-140.3157999999931,114.0,0.0010056864536014281,0.20083344477768006
16,-244.65119999997697,60.0,0.00272771625328747,0.19653076651555143
17,-175.81019999999435,85.0,0.001423066042997035,0.2073367148711297
18,-159.44479999999743,111.0,0.0018785607344667416,0.22188904345966876
19,-172.87029999999322,98.0,0.0017010630696356536,0.21253106483307324
20,-126.49370000000519,113.0,0.0011542642434841056,0.1902183872328973
21,-164.616699999999,112.0,0.0015719213863456772,0.18617175790897914
22,-103.0142000000117,147.0,0.001519064446735061,0.19967131794577367
23,-270.1808999999842,-3.0,0.0009584501850249102,0.21014045257317393
24,-133.7740000000074,105.0,0.0013933620676222123,0.2071907174111785
25,-272.41159999998104,6.0,0.001284344770786112,0.16645832644089273
26,-258.9210999999896,17.0,0.0015290434784171673,0.2007048671182833
27,-125.9052000000089,138.0,0.001301955264918918,0.18673002536065483
28,-172.32659999998543,66.0,0.0014980315266161358,0.1953974899615308
29,-212.07109999998954,61.0,0.0011019039526146163,0.20952909376080098
30,-158.07630000000268,120.0,0.0007527364059809004,0.21413093880064002
31,-160.71180000000348,117.0,0.0005711687826748714,0.1980450476495255
32,-170.83649999999534,100.0,0.0010913970224799797,0.19665712182483586
33,-91.43460000000691,174.0,0.0009179119318966849,0.19040003088057825
34,-203.3359999999927,51.0,0.0011676571139823384,0.21080322655555056
35,-306.360299999972,-59.0,0.0014979268839612671,0.20806116939179206
36,-117.32810000000995,135.0,9.230938040242396e-05,0.18432022115264676
37,-236.85059999997776,64.0,0.001167165822823192,0.20298344519381462
38,-72.86780000000572,145.0,0.0013410426514670498,0.1864762240285544
39,-219.43289999998476,120.0,0.003063904152799966,0.18463693698868155
40,-259.025299999988,-3.0,0.0023850032163421162,0.22675166510682748
41,-209.55989999999306,91.0,0.0017260031370489358,0.18527966696082762
42,-158.52950000000212,73.0,0.0012928385577221267,0.2042338609156248
43,-200.251999999983,88.0,0.001977913534550393,0.17961457864332356
44,-156.11640000000548,86.0,0.0014919358977510313,0.2408384153938019
45,-177.7279999999977,84.0,0.00037668247848973566,0.20423352611741344
46,-206.03279999999785,58.0,0.001537521865932496,0.19336905687018052
47,-174.85679999999832,58.0,0.0009880903486000055,0.18517541897630221
48,-185.3374999999923,69.0,0.0007509728070305611,0.18381987851554235
49,-230.14069999998344,28.0,0.0006548029009297208,0.20138768566233156
50,-99.6402000000035,157.0,0.0009543774889080899,0.2072313426332058
51,-228.19159999997825,35.0,0.001096023863163665,0.22653853867546117
52,-161.12359999999882,75.0,0.0008228174348053136,0.20551270427868554
53,-231.00209999998785,17.0,0.00121949363236988,0.18832086353856875
54,-164.50200000000183,128.0,0.0012113044097675715,0.19755792158263685
55,-162.38270000000043,71.0,0.0016992630391398148,0.2115213588296779
56,-138.0876000000061,118.0,0.0006626910540992532,0.1588059733009064
57,-170.4856000000006,74.0,0.001081715628778942,0.18928104828994133
58,-88.80470000000876,169.0,7.506069036217493e-05,0.2082628602480614
59,-202.52589999998216,46.0,0.0010842845593910361,0.1759418779003777
60,-183.87499999998892,94.0,0.0004627066247944879,0.17820751929263534
61,-224.98139999997704,42.0,0.0008605081211259714,0.21365167649070682
62,-179.36229999999728,71.0,0.0006869187966099401,0.18749549310948505
63,-170.85889999999966,113.0,0.0006964799148183948,0.19046933458823906
64,-267.014199999976,-12.0,0.0011601824302679713,0.21911897145113662
65,-161.58359999999226,83.0,0.0009288588392480865,0.21157508785836399
