file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251027.xlsx,7011,100,60,300,3,50.0
ticks_20251027.xlsx,7011,84,90,300,3,18.0
ticks_20251027.xlsx,7011,82,120,300,3,62.0
ticks_20251027.xlsx,7011,76,60,600,3,2.0
ticks_20251027.xlsx,7011,60,90,600,3,33.0
ticks_20251027.xlsx,7011,40,120,600,3,51.0
ticks_20251027.xlsx,7011,68,60,900,3,-8.0
ticks_20251027.xlsx,7011,52,90,900,3,-9.0
ticks_20251027.xlsx,7011,38,120,900,3,22.0
ticks_20251027.xlsx,7011,52,60,300,5,49.0
ticks_20251027.xlsx,7011,36,90,300,5,57.0
ticks_20251027.xlsx,7011,30,120,300,5,88.0
ticks_20251027.xlsx,7011,24,60,600,5,18.0
ticks_20251027.xlsx,7011,28,90,600,5,42.0
ticks_20251027.xlsx,7011,18,120,600,5,82.0
ticks_20251027.xlsx,7011,30,60,900,5,54.0
ticks_20251027.xlsx,7011,16,90,900,5,45.0
ticks_20251027.xlsx,7011,20,120,900,5,68.0
ticks_20251027.xlsx,7011,28,60,300,7,37.0
ticks_20251027.xlsx,7011,16,90,300,7,79.0
ticks_20251027.xlsx,7011,12,120,300,7,99.0
ticks_20251027.xlsx,7011,20,60,600,7,21.0
ticks_20251027.xlsx,7011,18,90,600,7,69.0
ticks_20251027.xlsx,7011,6,120,600,7,30.0
ticks_20251027.xlsx,7011,14,60,900,7,73.0
ticks_20251027.xlsx,7011,12,90,900,7,49.0
ticks_20251027.xlsx,7011,14,120,900,7,54.0
