file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251003.xlsx,7011,84,60,300,3,7.0
ticks_20251003.xlsx,7011,80,90,300,3,30.0
ticks_20251003.xlsx,7011,74,120,300,3,1.0
ticks_20251003.xlsx,7011,76,60,600,3,-23.0
ticks_20251003.xlsx,7011,54,90,600,3,-15.0
ticks_20251003.xlsx,7011,44,120,600,3,-45.0
ticks_20251003.xlsx,7011,60,60,900,3,-53.0
ticks_20251003.xlsx,7011,46,90,900,3,-23.0
ticks_20251003.xlsx,7011,46,120,900,3,-47.0
ticks_20251003.xlsx,7011,26,60,300,5,5.0
ticks_20251003.xlsx,7011,28,90,300,5,60.0
ticks_20251003.xlsx,7011,22,120,300,5,11.0
ticks_20251003.xlsx,7011,34,60,600,5,-1.0
ticks_20251003.xlsx,7011,30,90,600,5,-7.0
ticks_20251003.xlsx,7011,18,120,600,5,-21.0
ticks_20251003.xlsx,7011,26,60,900,5,-26.0
ticks_20251003.xlsx,7011,20,90,900,5,-34.0
ticks_20251003.xlsx,7011,14,120,900,5,-13.0
ticks_20251003.xlsx,7011,16,60,300,7,24.0
ticks_20251003.xlsx,7011,10,90,300,7,-2.0
ticks_20251003.xlsx,7011,6,120,300,7,16.0
ticks_20251003.xlsx,7011,14,60,600,7,19.0
ticks_20251003.xlsx,7011,8,90,600,7,30.0
ticks_20251003.xlsx,7011,4,120,600,7,16.0
ticks_20251003.xlsx,7011,14,60,900,7,-5.0
ticks_20251003.xlsx,7011,8,90,900,7,0.0
ticks_20251003.xlsx,7011,6,120,900,7,14.0
