file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251125.xlsx,7011,100,60,300,3,-38.0
ticks_20251125.xlsx,7011,100,90,300,3,-47.0
ticks_20251125.xlsx,7011,94,120,300,3,-96.0
ticks_20251125.xlsx,7011,86,60,600,3,-6.0
ticks_20251125.xlsx,7011,74,90,600,3,-43.0
ticks_20251125.xlsx,7011,62,120,600,3,-14.0
ticks_20251125.xlsx,7011,48,60,900,3,-21.0
ticks_20251125.xlsx,7011,50,90,900,3,-18.0
ticks_20251125.xlsx,7011,42,120,900,3,22.0
ticks_20251125.xlsx,7011,62,60,300,5,-55.0
ticks_20251125.xlsx,7011,54,90,300,5,-58.0
ticks_20251125.xlsx,7011,50,120,300,5,-80.0
ticks_20251125.xlsx,7011,48,60,600,5,-57.0
ticks_20251125.xlsx,7011,38,90,600,5,-33.0
ticks_20251125.xlsx,7011,36,120,600,5,0.0
ticks_20251125.xlsx,7011,24,60,900,5,-50.0
ticks_20251125.xlsx,7011,28,90,900,5,-50.0
ticks_20251125.xlsx,7011,16,120,900,5,-29.0
ticks_20251125.xlsx,7011,22,60,300,7,-20.0
ticks_20251125.xlsx,7011,22,90,300,7,-27.0
ticks_20251125.xlsx,7011,20,120,300,7,-52.0
ticks_20251125.xlsx,7011,20,60,600,7,-28.0
ticks_20251125.xlsx,7011,12,90,600,7,-13.0
ticks_20251125.xlsx,7011,14,120,600,7,-6.0
ticks_20251125.xlsx,7011,16,60,900,7,-29.0
ticks_20251125.xlsx,7011,16,90,900,7,-31.0
ticks_20251125.xlsx,7011,12,120,900,7,-25.0
