file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251017.xlsx,7011,100,60,300,3,107.0
ticks_20251017.xlsx,7011,100,90,300,3,46.0
ticks_20251017.xlsx,7011,100,120,300,3,145.0
ticks_20251017.xlsx,7011,74,60,600,3,142.0
ticks_20251017.xlsx,7011,68,90,600,3,23.0
ticks_20251017.xlsx,7011,58,120,600,3,3.0
ticks_20251017.xlsx,7011,78,60,900,3,36.0
ticks_20251017.xlsx,7011,74,90,900,3,28.0
ticks_20251017.xlsx,7011,68,120,900,3,55.0
ticks_20251017.xlsx,7011,70,60,300,5,86.0
ticks_20251017.xlsx,7011,50,90,300,5,30.0
ticks_20251017.xlsx,7011,48,120,300,5,100.0
ticks_20251017.xlsx,7011,40,60,600,5,57.0
ticks_20251017.xlsx,7011,36,90,600,5,52.0
ticks_20251017.xlsx,7011,28,120,600,5,34.0
ticks_20251017.xlsx,7011,48,60,900,5,75.0
ticks_20251017.xlsx,7011,40,90,900,5,82.0
ticks_20251017.xlsx,7011,36,120,900,5,111.0
ticks_20251017.xlsx,7011,32,60,300,7,19.0
ticks_20251017.xlsx,7011,20,90,300,7,58.0
ticks_20251017.xlsx,7011,34,120,300,7,113.0
ticks_20251017.xlsx,7011,22,60,600,7,60.0
ticks_20251017.xlsx,7011,20,90,600,7,44.0
ticks_20251017.xlsx,7011,20,120,600,7,44.0
ticks_20251017.xlsx,7011,24,60,900,7,3.0
ticks_20251017.xlsx,7011,20,90,900,7,-8.0
ticks_20251017.xlsx,7011,16,120,900,7,28.0
