file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251201.xlsx,7011,66,60,300,3,26.0
ticks_20251201.xlsx,7011,68,90,300,3,19.0
ticks_20251201.xlsx,7011,48,120,300,3,27.0
ticks_20251201.xlsx,7011,48,60,600,3,-33.0
ticks_20251201.xlsx,7011,36,90,600,3,-9.0
ticks_20251201.xlsx,7011,38,120,600,3,-9.0
ticks_20251201.xlsx,7011,36,60,900,3,3.0
ticks_20251201.xlsx,7011,30,90,900,3,2.0
ticks_20251201.xlsx,7011,34,120,900,3,-5.0
ticks_20251201.xlsx,7011,32,60,300,5,-10.0
ticks_20251201.xlsx,7011,22,90,300,5,12.0
ticks_20251201.xlsx,7011,10,120,300,5,15.0
ticks_20251201.xlsx,7011,20,60,600,5,-11.0
ticks_20251201.xlsx,7011,18,90,600,5,-9.0
ticks_20251201.xlsx,7011,12,120,600,5,-16.0
ticks_20251201.xlsx,7011,16,60,900,5,21.0
ticks_20251201.xlsx,7011,16,90,900,5,16.0
ticks_20251201.xlsx,7011,12,120,900,5,10.0
ticks_20251201.xlsx,7011,16,60,300,7,2.0
ticks_20251201.xlsx,7011,12,90,300,7,6.0
ticks_20251201.xlsx,7011,6,120,300,7,-4.0
ticks_20251201.xlsx,7011,8,60,600,7,-23.0
ticks_20251201.xlsx,7011,8,90,600,7,-14.0
ticks_20251201.xlsx,7011,6,120,600,7,-1.0
ticks_20251201.xlsx,7011,6,60,900,7,6.0
ticks_20251201.xlsx,7011,8,90,900,7,0.0
ticks_20251201.xlsx,7011,6,120,900,7,23.0
