file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251118.xlsx,7011,100,60,300,3,128.0
ticks_20251118.xlsx,7011,84,90,300,3,94.0
ticks_20251118.xlsx,7011,78,120,300,3,37.0
ticks_20251118.xlsx,7011,78,60,600,3,13.0
ticks_20251118.xlsx,7011,64,90,600,3,-29.0
ticks_20251118.xlsx,7011,58,120,600,3,-48.0
ticks_20251118.xlsx,7011,64,60,900,3,1.0
ticks_20251118.xlsx,7011,60,90,900,3,-15.0
ticks_20251118.xlsx,7011,52,120,900,3,1.0
ticks_20251118.xlsx,7011,46,60,300,5,89.0
ticks_20251118.xlsx,7011,26,90,300,5,55.0
ticks_20251118.xlsx,7011,30,120,300,5,-6.0
ticks_20251118.xlsx,7011,42,60,600,5,-3.0
ticks_20251118.xlsx,7011,24,90,600,5,-59.0
ticks_20251118.xlsx,7011,24,120,600,5,-38.0
ticks_20251118.xlsx,7011,30,60,900,5,13.0
ticks_20251118.xlsx,7011,30,90,900,5,27.0
ticks_20251118.xlsx,7011,22,120,900,5,30.0
ticks_20251118.xlsx,7011,16,60,300,7,19.0
ticks_20251118.xlsx,7011,12,90,300,7,-1.0
ticks_20251118.xlsx,7011,18,120,300,7,0.0
ticks_20251118.xlsx,7011,22,60,600,7,17.0
ticks_20251118.xlsx,7011,14,90,600,7,-36.0
ticks_20251118.xlsx,7011,14,120,600,7,-21.0
ticks_20251118.xlsx,7011,20,60,900,7,3.0
ticks_20251118.xlsx,7011,14,90,900,7,-4.0
ticks_20251118.xlsx,7011,8,120,900,7,-2.0
