file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20250916.xlsx,7011,60,60,300,3,-6.0
ticks_20250916.xlsx,7011,52,90,300,3,-47.0
ticks_20250916.xlsx,7011,52,120,300,3,-12.0
ticks_20250916.xlsx,7011,54,60,600,3,-27.0
ticks_20250916.xlsx,7011,42,90,600,3,-17.0
ticks_20250916.xlsx,7011,34,120,600,3,-25.0
ticks_20250916.xlsx,7011,40,60,900,3,-26.0
ticks_20250916.xlsx,7011,30,90,900,3,-30.0
ticks_20250916.xlsx,7011,28,120,900,3,-82.0
ticks_20250916.xlsx,7011,18,60,300,5,5.0
ticks_20250916.xlsx,7011,18,90,300,5,-13.0
ticks_20250916.xlsx,7011,14,120,300,5,-35.0
ticks_20250916.xlsx,7011,18,60,600,5,-12.0
ticks_20250916.xlsx,7011,12,90,600,5,-20.0
ticks_20250916.xlsx,7011,14,120,600,5,-42.0
ticks_20250916.xlsx,7011,16,60,900,5,-36.0
ticks_20250916.xlsx,7011,8,90,900,5,-32.0
ticks_20250916.xlsx,7011,14,120,900,5,-46.0
ticks_20250916.xlsx,7011,6,60,300,7,-5.0
ticks_20250916.xlsx,7011,10,90,300,7,-31.0
ticks_20250916.xlsx,7011,6,120,300,7,-9.0
ticks_20250916.xlsx,7011,6,60,600,7,-1.0
ticks_20250916.xlsx,7011,8,90,600,7,-16.0
ticks_20250916.xlsx,7011,8,120,600,7,-21.0
ticks_20250916.xlsx,7011,6,60,900,7,-8.0
ticks_20250916.xlsx,7011,4,90,900,7,-17.0
ticks_20250916.xlsx,7011,8,120,900,7,-25.0
