file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251015.xlsx,7011,100,60,300,3,9.0
ticks_20251015.xlsx,7011,90,90,300,3,53.0
ticks_20251015.xlsx,7011,92,120,300,3,39.0
ticks_20251015.xlsx,7011,78,60,600,3,-1.0
ticks_20251015.xlsx,7011,48,90,600,3,11.0
ticks_20251015.xlsx,7011,42,120,600,3,2.0
ticks_20251015.xlsx,7011,50,60,900,3,21.0
ticks_20251015.xlsx,7011,46,90,900,3,-19.0
ticks_20251015.xlsx,7011,30,120,900,3,39.0
ticks_20251015.xlsx,7011,44,60,300,5,-17.0
ticks_20251015.xlsx,7011,42,90,300,5,11.0
ticks_20251015.xlsx,7011,40,120,300,5,51.0
ticks_20251015.xlsx,7011,36,60,600,5,21.0
ticks_20251015.xlsx,7011,24,90,600,5,12.0
ticks_20251015.xlsx,7011,22,120,600,5,36.0
ticks_20251015.xlsx,7011,16,60,900,5,24.0
ticks_20251015.xlsx,7011,24,90,900,5,-2.0
ticks_20251015.xlsx,7011,14,120,900,5,23.0
ticks_20251015.xlsx,7011,20,60,300,7,12.0
ticks_20251015.xlsx,7011,26,90,300,7,26.0
ticks_20251015.xlsx,7011,16,120,300,7,63.0
ticks_20251015.xlsx,7011,18,60,600,7,23.0
ticks_20251015.xlsx,7011,10,90,600,7,43.0
ticks_20251015.xlsx,7011,12,120,600,7,51.0
ticks_20251015.xlsx,7011,10,60,900,7,25.0
ticks_20251015.xlsx,7011,16,90,900,7,10.0
ticks_20251015.xlsx,7011,6,120,900,7,40.0
