file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251127.xlsx,7011,70,60,300,3,-70.0
ticks_20251127.xlsx,7011,44,90,300,3,-31.0
ticks_20251127.xlsx,7011,44,120,300,3,-13.0
ticks_20251127.xlsx,7011,54,60,600,3,-29.0
ticks_20251127.xlsx,7011,50,90,600,3,-42.0
ticks_20251127.xlsx,7011,38,120,600,3,-28.0
ticks_20251127.xlsx,7011,46,60,900,3,-38.0
ticks_20251127.xlsx,7011,26,90,900,3,-25.0
ticks_20251127.xlsx,7011,22,120,900,3,-11.0
ticks_20251127.xlsx,7011,24,60,300,5,-19.0
ticks_20251127.xlsx,7011,14,90,300,5,-13.0
ticks_20251127.xlsx,7011,14,120,300,5,-12.0
ticks_20251127.xlsx,7011,16,60,600,5,-5.0
ticks_20251127.xlsx,7011,20,90,600,5,-27.0
ticks_20251127.xlsx,7011,12,120,600,5,-14.0
ticks_20251127.xlsx,7011,16,60,900,5,-27.0
ticks_20251127.xlsx,7011,10,90,900,5,-13.0
ticks_20251127.xlsx,7011,12,120,900,5,1.0
ticks_20251127.xlsx,7011,14,60,300,7,-24.0
ticks_20251127.xlsx,7011,2,90,300,7,11.0
ticks_20251127.xlsx,7011,2,120,300,7,12.0
ticks_20251127.xlsx,7011,10,60,600,7,-11.0
ticks_20251127.xlsx,7011,10,90,600,7,-11.0
ticks_20251127.xlsx,7011,6,120,600,7,-11.0
ticks_20251127.xlsx,7011,8,60,900,7,-9.0
ticks_20251127.xlsx,7011,4,90,900,7,-4.0
ticks_20251127.xlsx,7011,4,120,900,7,-2.0
