file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251204.xlsx,7011,100,60,300,3,-71.0
ticks_20251204.xlsx,7011,88,90,300,3,-90.0
ticks_20251204.xlsx,7011,58,120,300,3,-9.0
ticks_20251204.xlsx,7011,72,60,600,3,-31.0
ticks_20251204.xlsx,7011,56,90,600,3,5.0
ticks_20251204.xlsx,7011,52,120,600,3,-34.0
ticks_20251204.xlsx,7011,56,60,900,3,-7.0
ticks_20251204.xlsx,7011,34,90,900,3,31.0
ticks_20251204.xlsx,7011,22,120,900,3,48.0
ticks_20251204.xlsx,7011,32,60,300,5,-61.0
ticks_20251204.xlsx,7011,38,90,300,5,-58.0
ticks_20251204.xlsx,7011,18,120,300,5,-2.0
ticks_20251204.xlsx,7011,16,60,600,5,8.0
ticks_20251204.xlsx,7011,14,90,600,5,11.0
ticks_20251204.xlsx,7011,12,120,600,5,-1.0
ticks_20251204.xlsx,7011,18,60,900,5,-12.0
ticks_20251204.xlsx,7011,10,90,900,5,21.0
ticks_20251204.xlsx,7011,6,120,900,5,31.0
ticks_20251204.xlsx,7011,20,60,300,7,-31.0
ticks_20251204.xlsx,7011,16,90,300,7,-3.0
ticks_20251204.xlsx,7011,14,120,300,7,18.0
ticks_20251204.xlsx,7011,8,60,600,7,23.0
ticks_20251204.xlsx,7011,4,90,600,7,34.0
ticks_20251204.xlsx,7011,6,120,600,7,26.0
ticks_20251204.xlsx,7011,12,60,900,7,12.0
ticks_20251204.xlsx,7011,8,90,900,7,25.0
ticks_20251204.xlsx,7011,4,120,900,7,40.0
