file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251112.xlsx,7011,100,60,300,3,54.0
ticks_20251112.xlsx,7011,96,90,300,3,-29.0
ticks_20251112.xlsx,7011,88,120,300,3,-24.0
ticks_20251112.xlsx,7011,62,60,600,3,102.0
ticks_20251112.xlsx,7011,42,90,600,3,33.0
ticks_20251112.xlsx,7011,48,120,600,3,45.0
ticks_20251112.xlsx,7011,44,60,900,3,111.0
ticks_20251112.xlsx,7011,34,90,900,3,52.0
ticks_20251112.xlsx,7011,34,120,900,3,45.0
ticks_20251112.xlsx,7011,44,60,300,5,59.0
ticks_20251112.xlsx,7011,32,90,300,5,40.0
ticks_20251112.xlsx,7011,30,120,300,5,40.0
ticks_20251112.xlsx,7011,24,60,600,5,111.0
ticks_20251112.xlsx,7011,18,90,600,5,34.0
ticks_20251112.xlsx,7011,26,120,600,5,19.0
ticks_20251112.xlsx,7011,20,60,900,5,131.0
ticks_20251112.xlsx,7011,18,90,900,5,42.0
ticks_20251112.xlsx,7011,18,120,900,5,59.0
ticks_20251112.xlsx,7011,24,60,300,7,69.0
ticks_20251112.xlsx,7011,22,90,300,7,47.0
ticks_20251112.xlsx,7011,14,120,300,7,43.0
ticks_20251112.xlsx,7011,12,60,600,7,28.0
ticks_20251112.xlsx,7011,12,90,600,7,70.0
ticks_20251112.xlsx,7011,14,120,600,7,54.0
ticks_20251112.xlsx,7011,12,60,900,7,81.0
ticks_20251112.xlsx,7011,12,90,900,7,62.0
ticks_20251112.xlsx,7011,8,120,900,7,9.0
