file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251203.xlsx,7011,74,60,300,3,7.0
ticks_20251203.xlsx,7011,60,90,300,3,31.0
ticks_20251203.xlsx,7011,46,120,300,3,3.0
ticks_20251203.xlsx,7011,50,60,600,3,21.0
ticks_20251203.xlsx,7011,38,90,600,3,41.0
ticks_20251203.xlsx,7011,32,120,600,3,0.0
ticks_20251203.xlsx,7011,46,60,900,3,-61.0
ticks_20251203.xlsx,7011,38,90,900,3,-36.0
ticks_20251203.xlsx,7011,38,120,900,3,-52.0
ticks_20251203.xlsx,7011,30,60,300,5,-3.0
ticks_20251203.xlsx,7011,12,90,300,5,-3.0
ticks_20251203.xlsx,7011,16,120,300,5,3.0
ticks_20251203.xlsx,7011,22,60,600,5,-37.0
ticks_20251203.xlsx,7011,14,90,600,5,-7.0
ticks_20251203.xlsx,7011,14,120,600,5,-16.0
ticks_20251203.xlsx,7011,16,60,900,5,-37.0
ticks_20251203.xlsx,7011,14,90,900,5,-8.0
ticks_20251203.xlsx,7011,14,120,900,5,-19.0
ticks_20251203.xlsx,7011,6,60,300,7,5.0
ticks_20251203.xlsx,7011,8,90,300,7,5.0
ticks_20251203.xlsx,7011,8,120,300,7,-11.0
ticks_20251203.xlsx,7011,8,60,600,7,-36.0
ticks_20251203.xlsx,7011,8,90,600,7,5.0
ticks_20251203.xlsx,7011,4,120,600,7,-5.0
ticks_20251203.xlsx,7011,10,60,900,7,-32.0
ticks_20251203.xlsx,7011,10,90,900,7,0.0
ticks_20251203.xlsx,7011,4,120,900,7,-4.0
