file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20250826.xlsx,7011,46,60,300,3,-3.0
ticks_20250826.xlsx,7011,38,90,300,3,-9.0
ticks_20250826.xlsx,7011,34,120,300,3,-45.0
ticks_20250826.xlsx,7011,28,60,600,3,-11.0
ticks_20250826.xlsx,7011,28,90,600,3,8.0
ticks_20250826.xlsx,7011,18,120,600,3,3.0
ticks_20250826.xlsx,7011,32,60,900,3,-23.0
ticks_20250826.xlsx,7011,26,90,900,3,-6.0
ticks_20250826.xlsx,7011,22,120,900,3,-9.0
ticks_20250826.xlsx,7011,10,60,300,5,-5.0
ticks_20250826.xlsx,7011,12,90,300,5,-2.0
ticks_20250826.xlsx,7011,10,120,300,5,-11.0
ticks_20250826.xlsx,7011,10,60,600,5,0.0
ticks_20250826.xlsx,7011,10,90,600,5,12.0
ticks_20250826.xlsx,7011,8,120,600,5,-8.0
ticks_20250826.xlsx,7011,16,60,900,5,1.0
ticks_20250826.xlsx,7011,12,90,900,5,21.0
ticks_20250826.xlsx,7011,8,120,900,5,-12.0
ticks_20250826.xlsx,7011,4,60,300,7,-5.0
ticks_20250826.xlsx,7011,6,90,300,7,6.0
ticks_20250826.xlsx,7011,4,120,300,7,-18.0
ticks_20250826.xlsx,7011,4,60,600,7,-7.0
ticks_20250826.xlsx,7011,6,90,600,7,-3.0
ticks_20250826.xlsx,7011,2,120,600,7,-7.0
ticks_20250826.xlsx,7011,8,60,900,7,6.0
ticks_20250826.xlsx,7011,8,90,900,7,17.0
ticks_20250826.xlsx,7011,2,120,900,7,-7.0
