file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20250820.xlsx,7011,58,60,300,3,59.0
ticks_20250820.xlsx,7011,48,90,300,3,97.0
ticks_20250820.xlsx,7011,46,120,300,3,27.0
ticks_20250820.xlsx,7011,56,60,600,3,-8.0
ticks_20250820.xlsx,7011,48,90,600,3,73.0
ticks_20250820.xlsx,7011,42,120,600,3,-4.0
ticks_20250820.xlsx,7011,42,60,900,3,-10.0
ticks_20250820.xlsx,7011,42,90,900,3,23.0
ticks_20250820.xlsx,7011,26,120,900,3,-11.0
ticks_20250820.xlsx,7011,26,60,300,5,28.0
ticks_20250820.xlsx,7011,20,90,300,5,58.0
ticks_20250820.xlsx,7011,26,120,300,5,8.0
ticks_20250820.xlsx,7011,22,60,600,5,-1.0
ticks_20250820.xlsx,7011,22,90,600,5,60.0
ticks_20250820.xlsx,7011,24,120,600,5,-3.0
ticks_20250820.xlsx,7011,24,60,900,5,-21.0
ticks_20250820.xlsx,7011,22,90,900,5,41.0
ticks_20250820.xlsx,7011,14,120,900,5,0.0
ticks_20250820.xlsx,7011,10,60,300,7,-6.0
ticks_20250820.xlsx,7011,12,90,300,7,53.0
ticks_20250820.xlsx,7011,14,120,300,7,-13.0
ticks_20250820.xlsx,7011,10,60,600,7,4.0
ticks_20250820.xlsx,7011,10,90,600,7,59.0
ticks_20250820.xlsx,7011,8,120,600,7,-59.0
ticks_20250820.xlsx,7011,10,60,900,7,-4.0
ticks_20250820.xlsx,7011,10,90,900,7,38.0
ticks_20250820.xlsx,7011,6,120,900,7,-49.0
