file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251010.xlsx,7011,100,60,300,3,-57.0
ticks_20251010.xlsx,7011,84,90,300,3,-33.0
ticks_20251010.xlsx,7011,92,120,300,3,-78.0
ticks_20251010.xlsx,7011,80,60,600,3,-8.0
ticks_20251010.xlsx,7011,60,90,600,3,-22.0
ticks_20251010.xlsx,7011,46,120,600,3,-27.0
ticks_20251010.xlsx,7011,66,60,900,3,-47.0
ticks_20251010.xlsx,7011,48,90,900,3,-57.0
ticks_20251010.xlsx,7011,52,120,900,3,-66.0
ticks_20251010.xlsx,7011,50,60,300,5,-7.0
ticks_20251010.xlsx,7011,48,90,300,5,-37.0
ticks_20251010.xlsx,7011,36,120,300,5,-58.0
ticks_20251010.xlsx,7011,40,60,600,5,-10.0
ticks_20251010.xlsx,7011,24,90,600,5,-7.0
ticks_20251010.xlsx,7011,18,120,600,5,2.0
ticks_20251010.xlsx,7011,36,60,900,5,12.0
ticks_20251010.xlsx,7011,26,90,900,5,0.0
ticks_20251010.xlsx,7011,20,120,900,5,16.0
ticks_20251010.xlsx,7011,22,60,300,7,-36.0
ticks_20251010.xlsx,7011,18,90,300,7,0.0
ticks_20251010.xlsx,7011,20,120,300,7,-38.0
ticks_20251010.xlsx,7011,26,60,600,7,3.0
ticks_20251010.xlsx,7011,14,90,600,7,28.0
ticks_20251010.xlsx,7011,14,120,600,7,20.0
ticks_20251010.xlsx,7011,12,60,900,7,42.0
ticks_20251010.xlsx,7011,8,90,900,7,39.0
ticks_20251010.xlsx,7011,12,120,900,7,31.0
