file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251205.xlsx,7011,92,60,300,3,-46.0
ticks_20251205.xlsx,7011,84,90,300,3,-76.0
ticks_20251205.xlsx,7011,62,120,300,3,-20.0
ticks_20251205.xlsx,7011,70,60,600,3,-78.0
ticks_20251205.xlsx,7011,50,90,600,3,-94.0
ticks_20251205.xlsx,7011,48,120,600,3,-67.0
ticks_20251205.xlsx,7011,54,60,900,3,-71.0
ticks_20251205.xlsx,7011,52,90,900,3,-80.0
ticks_20251205.xlsx,7011,36,120,900,3,-38.0
ticks_20251205.xlsx,7011,30,60,300,5,-35.0
ticks_20251205.xlsx,7011,30,90,300,5,-26.0
ticks_20251205.xlsx,7011,24,120,300,5,6.0
ticks_20251205.xlsx,7011,22,60,600,5,-23.0
ticks_20251205.xlsx,7011,28,90,600,5,-57.0
ticks_20251205.xlsx,7011,24,120,600,5,-31.0
ticks_20251205.xlsx,7011,20,60,900,5,-50.0
ticks_20251205.xlsx,7011,16,90,900,5,-36.0
ticks_20251205.xlsx,7011,16,120,900,5,-25.0
ticks_20251205.xlsx,7011,16,60,300,7,-5.0
ticks_20251205.xlsx,7011,14,90,300,7,-8.0
ticks_20251205.xlsx,7011,8,120,300,7,-20.0
ticks_20251205.xlsx,7011,10,60,600,7,-9.0
ticks_20251205.xlsx,7011,12,90,600,7,-26.0
ticks_20251205.xlsx,7011,10,120,600,7,-12.0
ticks_20251205.xlsx,7011,12,60,900,7,-34.0
ticks_20251205.xlsx,7011,12,90,900,7,-38.0
ticks_20251205.xlsx,7011,8,120,900,7,-20.0
