file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251110.xlsx,7011,100,60,300,3,-107.0
ticks_20251110.xlsx,7011,96,90,300,3,-49.0
ticks_20251110.xlsx,7011,92,120,300,3,-51.0
ticks_20251110.xlsx,7011,70,60,600,3,40.0
ticks_20251110.xlsx,7011,58,90,600,3,-18.0
ticks_20251110.xlsx,7011,52,120,600,3,-9.0
ticks_20251110.xlsx,7011,68,60,900,3,-27.0
ticks_20251110.xlsx,7011,62,90,900,3,-9.0
ticks_20251110.xlsx,7011,52,120,900,3,-35.0
ticks_20251110.xlsx,7011,62,60,300,5,-89.0
ticks_20251110.xlsx,7011,48,90,300,5,-46.0
ticks_20251110.xlsx,7011,30,120,300,5,37.0
ticks_20251110.xlsx,7011,26,60,600,5,45.0
ticks_20251110.xlsx,7011,22,90,600,5,-2.0
ticks_20251110.xlsx,7011,24,120,600,5,21.0
ticks_20251110.xlsx,7011,34,60,900,5,26.0
ticks_20251110.xlsx,7011,28,90,900,5,27.0
ticks_20251110.xlsx,7011,18,120,900,5,7.0
ticks_20251110.xlsx,7011,34,60,300,7,5.0
ticks_20251110.xlsx,7011,28,90,300,7,11.0
ticks_20251110.xlsx,7011,16,120,300,7,29.0
ticks_20251110.xlsx,7011,20,60,600,7,57.0
ticks_20251110.xlsx,7011,12,90,600,7,15.0
ticks_20251110.xlsx,7011,12,120,600,7,28.0
ticks_20251110.xlsx,7011,20,60,900,7,44.0
ticks_20251110.xlsx,7011,20,90,900,7,38.0
ticks_20251110.xlsx,7011,8,120,900,7,39.0
