file,code,trade,PERIOD_MA_1,PERIOD_MA_2,THRESHOLD_MR,total
ticks_20251029.xlsx,7011,100,60,300,3,-84.0
ticks_20251029.xlsx,7011,100,90,300,3,-156.0
ticks_20251029.xlsx,7011,96,120,300,3,-135.0
ticks_20251029.xlsx,7011,100,60,600,3,-161.0
ticks_20251029.xlsx,7011,100,90,600,3,-214.0
ticks_20251029.xlsx,7011,94,120,600,3,-165.0
ticks_20251029.xlsx,7011,96,60,900,3,-261.0
ticks_20251029.xlsx,7011,86,90,900,3,-236.0
ticks_20251029.xlsx,7011,78,120,900,3,-156.0
ticks_20251029.xlsx,7011,66,60,300,5,-150.0
ticks_20251029.xlsx,7011,56,90,300,5,-105.0
ticks_20251029.xlsx,7011,44,120,300,5,-82.0
ticks_20251029.xlsx,7011,56,60,600,5,-205.0
ticks_20251029.xlsx,7011,60,90,600,5,-209.0
ticks_20251029.xlsx,7011,44,120,600,5,-129.0
ticks_20251029.xlsx,7011,66,60,900,5,-221.0
ticks_20251029.xlsx,7011,50,90,900,5,-190.0
ticks_20251029.xlsx,7011,40,120,900,5,-63.0
ticks_20251029.xlsx,7011,28,60,300,7,-137.0
ticks_20251029.xlsx,7011,30,90,300,7,-116.0
ticks_20251029.xlsx,7011,16,120,300,7,-36.0
ticks_20251029.xlsx,7011,32,60,600,7,-182.0
ticks_20251029.xlsx,7011,30,90,600,7,-172.0
ticks_20251029.xlsx,7011,22,120,600,7,-61.0
ticks_20251029.xlsx,7011,28,60,900,7,-139.0
ticks_20251029.xlsx,7011,26,90,900,7,-145.0
ticks_20251029.xlsx,7011,22,120,900,7,-69.0
