file,code,trade,total,THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
ticks_20250825.xlsx,7203,6,100.0,5.0,0.1
ticks_20250825.xlsx,7203,6,1500.0,10.0,0.1
ticks_20250825.xlsx,7203,6,1500.0,15.0,0.1
ticks_20250825.xlsx,7203,6,1500.0,20.0,0.1
ticks_20250825.xlsx,7203,6,2400.0,25.0,0.1
ticks_20250825.xlsx,7203,6,2400.0,30.0,0.1
ticks_20250825.xlsx,7203,6,3800.0,35.0,0.1
ticks_20250825.xlsx,7203,6,3800.0,40.0,0.1
ticks_20250825.xlsx,7203,6,50.0,5.0,0.2
ticks_20250825.xlsx,7203,6,1350.0,10.0,0.2
ticks_20250825.xlsx,7203,6,1350.0,15.0,0.2
ticks_20250825.xlsx,7203,6,1350.0,20.0,0.2
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.2
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.2
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.2
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.2
ticks_20250825.xlsx,7203,6,0.0,5.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,10.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,15.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,20.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.3
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.3
ticks_20250825.xlsx,7203,6,-100.0,5.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,10.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,15.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,20.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.4
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.4
ticks_20250825.xlsx,7203,6,-100.0,5.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,10.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,15.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,20.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.5
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.5
ticks_20250825.xlsx,7203,6,-250.0,5.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,10.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,15.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,20.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.6
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.6
ticks_20250825.xlsx,7203,6,-250.0,5.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,10.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,15.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,20.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.7
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.7
ticks_20250825.xlsx,7203,6,-250.0,5.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,10.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,15.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,20.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,25.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,30.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,35.0,0.8
ticks_20250825.xlsx,7203,6,3900.0,40.0,0.8
