file,code,trade,total,THRESHOLD_SLOPE,TURBULENCE
ticks_20260106.xlsx,285A,4,-3500.0,0.1,5.0
ticks_20260106.xlsx,285A,0,0.0,0.2,5.0
ticks_20260106.xlsx,285A,0,0.0,0.3,5.0
ticks_20260106.xlsx,285A,0,0.0,0.4,5.0
ticks_20260106.xlsx,285A,0,0.0,0.5,5.0
ticks_20260106.xlsx,285A,0,0.0,0.6,5.0
ticks_20260106.xlsx,285A,0,0.0,0.7,5.0
ticks_20260106.xlsx,285A,0,0.0,0.8,5.0
ticks_20260106.xlsx,285A,0,0.0,0.9,5.0
ticks_20260106.xlsx,285A,0,0.0,1.0,5.0
ticks_20260106.xlsx,285A,6,-3000.0,0.1,10.0
ticks_20260106.xlsx,285A,2,500.0,0.2,10.0
ticks_20260106.xlsx,285A,0,0.0,0.3,10.0
ticks_20260106.xlsx,285A,0,0.0,0.4,10.0
ticks_20260106.xlsx,285A,0,0.0,0.5,10.0
ticks_20260106.xlsx,285A,0,0.0,0.6,10.0
ticks_20260106.xlsx,285A,0,0.0,0.7,10.0
ticks_20260106.xlsx,285A,0,0.0,0.8,10.0
ticks_20260106.xlsx,285A,0,0.0,0.9,10.0
ticks_20260106.xlsx,285A,0,0.0,1.0,10.0
ticks_20260106.xlsx,285A,14,29500.0,0.1,15.0
ticks_20260106.xlsx,285A,12,32500.0,0.2,15.0
ticks_20260106.xlsx,285A,6,11500.0,0.3,15.0
ticks_20260106.xlsx,285A,0,0.0,0.4,15.0
ticks_20260106.xlsx,285A,0,0.0,0.5,15.0
ticks_20260106.xlsx,285A,0,0.0,0.6,15.0
ticks_20260106.xlsx,285A,0,0.0,0.7,15.0
ticks_20260106.xlsx,285A,0,0.0,0.8,15.0
ticks_20260106.xlsx,285A,0,0.0,0.9,15.0
ticks_20260106.xlsx,285A,0,0.0,1.0,15.0
ticks_20260106.xlsx,285A,16,28000.0,0.1,20.0
ticks_20260106.xlsx,285A,14,31000.0,0.2,20.0
ticks_20260106.xlsx,285A,8,10000.0,0.3,20.0
ticks_20260106.xlsx,285A,2,-1500.0,0.4,20.0
ticks_20260106.xlsx,285A,0,0.0,0.5,20.0
ticks_20260106.xlsx,285A,0,0.0,0.6,20.0
ticks_20260106.xlsx,285A,0,0.0,0.7,20.0
ticks_20260106.xlsx,285A,0,0.0,0.8,20.0
ticks_20260106.xlsx,285A,0,0.0,0.9,20.0
ticks_20260106.xlsx,285A,0,0.0,1.0,20.0
ticks_20260106.xlsx,285A,18,27500.0,0.1,25.0
ticks_20260106.xlsx,285A,16,30500.0,0.2,25.0
ticks_20260106.xlsx,285A,10,9500.0,0.3,25.0
ticks_20260106.xlsx,285A,4,-2000.0,0.4,25.0
ticks_20260106.xlsx,285A,0,0.0,0.5,25.0
ticks_20260106.xlsx,285A,0,0.0,0.6,25.0
ticks_20260106.xlsx,285A,0,0.0,0.7,25.0
ticks_20260106.xlsx,285A,0,0.0,0.8,25.0
ticks_20260106.xlsx,285A,0,0.0,0.9,25.0
ticks_20260106.xlsx,285A,0,0.0,1.0,25.0
ticks_20260106.xlsx,285A,22,27500.0,0.1,30.0
ticks_20260106.xlsx,285A,20,30500.0,0.2,30.0
ticks_20260106.xlsx,285A,14,10000.0,0.3,30.0
ticks_20260106.xlsx,285A,6,-1000.0,0.4,30.0
ticks_20260106.xlsx,285A,2,1000.0,0.5,30.0
ticks_20260106.xlsx,285A,2,1000.0,0.6,30.0
ticks_20260106.xlsx,285A,2,1000.0,0.7,30.0
ticks_20260106.xlsx,285A,0,0.0,0.8,30.0
ticks_20260106.xlsx,285A,0,0.0,0.9,30.0
ticks_20260106.xlsx,285A,0,0.0,1.0,30.0
ticks_20260106.xlsx,285A,24,26500.0,0.1,35.0
ticks_20260106.xlsx,285A,22,29500.0,0.2,35.0
ticks_20260106.xlsx,285A,14,10000.0,0.3,35.0
ticks_20260106.xlsx,285A,6,-1000.0,0.4,35.0
ticks_20260106.xlsx,285A,2,1000.0,0.5,35.0
ticks_20260106.xlsx,285A,2,1000.0,0.6,35.0
ticks_20260106.xlsx,285A,2,1000.0,0.7,35.0
ticks_20260106.xlsx,285A,0,0.0,0.8,35.0
