file,code,trade,total,THRESHOLD_SLOPE,TURBULENCE
ticks_20260115.xlsx,285A,6,2000.0,0.1,5.0
ticks_20260115.xlsx,285A,0,0.0,0.2,5.0
ticks_20260115.xlsx,285A,0,0.0,0.3,5.0
ticks_20260115.xlsx,285A,0,0.0,0.4,5.0
ticks_20260115.xlsx,285A,0,0.0,0.5,5.0
ticks_20260115.xlsx,285A,0,0.0,0.6,5.0
ticks_20260115.xlsx,285A,0,0.0,0.7,5.0
ticks_20260115.xlsx,285A,0,0.0,0.8,5.0
ticks_20260115.xlsx,285A,0,0.0,0.9,5.0
ticks_20260115.xlsx,285A,0,0.0,1.0,5.0
ticks_20260115.xlsx,285A,14,-2500.0,0.1,10.0
ticks_20260115.xlsx,285A,6,-3500.0,0.2,10.0
ticks_20260115.xlsx,285A,4,-500.0,0.3,10.0
ticks_20260115.xlsx,285A,4,-500.0,0.4,10.0
ticks_20260115.xlsx,285A,2,1000.0,0.5,10.0
ticks_20260115.xlsx,285A,2,1000.0,0.6,10.0
ticks_20260115.xlsx,285A,0,0.0,0.7,10.0
ticks_20260115.xlsx,285A,0,0.0,0.8,10.0
ticks_20260115.xlsx,285A,0,0.0,0.9,10.0
ticks_20260115.xlsx,285A,0,0.0,1.0,10.0
ticks_20260115.xlsx,285A,24,-10000.0,0.1,15.0
ticks_20260115.xlsx,285A,12,-8500.0,0.2,15.0
ticks_20260115.xlsx,285A,8,-4000.0,0.3,15.0
ticks_20260115.xlsx,285A,4,-500.0,0.4,15.0
ticks_20260115.xlsx,285A,2,1000.0,0.5,15.0
ticks_20260115.xlsx,285A,2,1000.0,0.6,15.0
ticks_20260115.xlsx,285A,0,0.0,0.7,15.0
ticks_20260115.xlsx,285A,0,0.0,0.8,15.0
ticks_20260115.xlsx,285A,0,0.0,0.9,15.0
ticks_20260115.xlsx,285A,0,0.0,1.0,15.0
ticks_20260115.xlsx,285A,42,-17500.0,0.1,20.0
ticks_20260115.xlsx,285A,32,-16500.0,0.2,20.0
ticks_20260115.xlsx,285A,26,-9500.0,0.3,20.0
ticks_20260115.xlsx,285A,14,-8500.0,0.4,20.0
ticks_20260115.xlsx,285A,4,-2500.0,0.5,20.0
ticks_20260115.xlsx,285A,4,-2500.0,0.6,20.0
ticks_20260115.xlsx,285A,2,-3500.0,0.7,20.0
ticks_20260115.xlsx,285A,2,-3500.0,0.8,20.0
ticks_20260115.xlsx,285A,2,-3500.0,0.9,20.0
ticks_20260115.xlsx,285A,0,0.0,1.0,20.0
ticks_20260115.xlsx,285A,56,-17000.0,0.1,25.0
ticks_20260115.xlsx,285A,46,-16000.0,0.2,25.0
ticks_20260115.xlsx,285A,38,-10500.0,0.3,25.0
ticks_20260115.xlsx,285A,24,-7500.0,0.4,25.0
ticks_20260115.xlsx,285A,10,-1500.0,0.5,25.0
ticks_20260115.xlsx,285A,6,-3500.0,0.6,25.0
ticks_20260115.xlsx,285A,2,-3500.0,0.7,25.0
ticks_20260115.xlsx,285A,2,-3500.0,0.8,25.0
ticks_20260115.xlsx,285A,2,-3500.0,0.9,25.0
ticks_20260115.xlsx,285A,0,0.0,1.0,25.0
ticks_20260115.xlsx,285A,62,-18000.0,0.1,30.0
ticks_20260115.xlsx,285A,50,-18000.0,0.2,30.0
ticks_20260115.xlsx,285A,42,-12500.0,0.3,30.0
ticks_20260115.xlsx,285A,26,-7500.0,0.4,30.0
ticks_20260115.xlsx,285A,12,-1500.0,0.5,30.0
ticks_20260115.xlsx,285A,8,-3500.0,0.6,30.0
ticks_20260115.xlsx,285A,2,-3500.0,0.7,30.0
ticks_20260115.xlsx,285A,2,-3500.0,0.8,30.0
ticks_20260115.xlsx,285A,2,-3500.0,0.9,30.0
ticks_20260115.xlsx,285A,0,0.0,1.0,30.0
ticks_20260115.xlsx,285A,62,-18000.0,0.1,35.0
ticks_20260115.xlsx,285A,50,-18000.0,0.2,35.0
ticks_20260115.xlsx,285A,42,-12500.0,0.3,35.0
ticks_20260115.xlsx,285A,26,-7500.0,0.4,35.0
ticks_20260115.xlsx,285A,12,-1500.0,0.5,35.0
ticks_20260115.xlsx,285A,8,-3500.0,0.6,35.0
ticks_20260115.xlsx,285A,2,-3500.0,0.7,35.0
ticks_20260115.xlsx,285A,2,-3500.0,0.8,35.0
ticks_20260115.xlsx,285A,2,-3500.0,0.9,35.0
ticks_20260115.xlsx,285A,0,0.0,1.0,35.0
ticks_20260115.xlsx,285A,68,-22000.0,0.1,40.0
ticks_20260115.xlsx,285A,56,-22000.0,0.2,40.0
ticks_20260115.xlsx,285A,48,-16500.0,0.3,40.0
ticks_20260115.xlsx,285A,32,-11500.0,0.4,40.0
