,ts,price,ma1,ma2,vwap,momentum,profit,profit_max,dd_ratio,diff_ma,diff_vwap,n_trade,count_negative,ma_gc,ma_dc,vwap_gc,vwap_dc,warmup
2026-07-13 09:00:14,1783900814.7569041,6340.0,6340.0,6340.0,6340.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,False,False,1.0
2026-07-13 09:00:16,1783900816.7636218,6350.0,6341.5,6345.0,6350.0,1.0,0.0,0.0,0.0,-0.0005516154452324665,-0.0013385826771653542,0,0,False,True,False,True,1.0
2026-07-13 09:00:18,1783900818.758246,6348.0,6342.475,6346.0,6349.8753976670205,1.0,0.0,0.0,0.0,-0.0005554680113456723,-0.0011654398241797096,0,0,False,False,False,False,1.0
2026-07-13 09:00:20,1783900820.7673652,6372.0,6346.90375,6352.5,6351.550600343053,1.0,0.0,0.0,0.0,-0.0008809523809523179,-0.0007316088047541354,0,0,False,False,False,False,1.0
2026-07-13 09:00:22,1783900822.7811558,6354.0,6347.968187500001,6352.8,6351.708915883566,1.0,0.0,0.0,0.0,-0.000760579980480987,-0.0005889325901272272,0,0,False,False,False,False,1.0
2026-07-13 09:00:24,1783900824.7761557,6361.0,6351.497959375,6354.166666666667,6351.915060510982,1.0,0.0,0.0,0.0,-0.00041999327868851065,-6.566541460454131e-05,0,0,False,False,False,False,1.0
2026-07-13 09:00:26,1783900826.774253,6357.0,6352.8482654687505,6354.571428571428,6352.022158841597,1.0,0.0,0.0,0.0,-0.0002711690508238345,0.00013005411607444343,0,0,False,False,True,False,1.0
2026-07-13 09:00:28,1783900828.7756987,6340.0,6350.321025648438,6352.75,6351.649022108843,0.6712641603902144,0.0,0.0,0.0,-0.000382350061243071,-0.00020907900543351926,0,0,False,False,False,True,1.0
2026-07-13 09:00:30,1783900830.7940667,6308.0,6339.172871801173,6347.777777777777,6346.975892179195,0.031184543376007616,0.0,0.0,0.0,-0.001355577696296898,-0.0012294075967166699,0,0,False,False,False,False,1.0
2026-07-13 09:00:32,1783900832.80415,6313.0,6332.171941030997,6344.3,6346.6881234707325,0.23350200526940118,0.0,0.0,0.0,-0.0019116465124605043,-0.002287205887122944,0,0,False,False,False,False,1.0
2026-07-13 09:00:34,1783900834.8133237,6271.0,6316.246149876348,6337.636363636364,6335.70329847144,0.48035727155018,0.0,0.0,0.0,-0.003375109036351065,-0.003071032161462825,0,0,False,False,False,False,1.0
2026-07-13 09:00:36,1783900836.8222625,6266.0,6301.884227394896,6331.666666666667,6333.184553349876,0.5973107142207411,0.0,0.0,0.0,-0.004703728234551911,-0.004942272831513256,0,0,False,False,False,False,1.0
2026-07-13 09:00:38,1783900838.8280206,6265.0,6290.726593285662,6326.538461538462,6331.402960277904,0.6572421994421851,0.0,0.0,0.0,-0.005660578604005137,-0.006424542435134572,0,0,False,False,False,False,1.0
2026-07-13 09:00:40,1783900840.8222077,6274.0,6285.667604292812,6322.785714285715,6328.40380761523,0.6789094641792714,0.0,0.0,0.0,-0.005870531071302624,-0.0067530778094456985,0,0,False,False,False,False,1.0
2026-07-13 09:00:42,1783900842.8174553,6264.0,6278.74246364889,6318.866666666667,6328.07362574765,0.7044815528615677,0.0,0.0,0.0,-0.006349904996324717,-0.007795604952831332,0,0,False,False,False,False,1.0
2026-07-13 09:00:44,1783900844.827616,6276.0,6278.706094101557,6316.1875,6327.552375581559,0.7046051052029746,0.0,0.0,0.0,-0.005934181956828067,-0.00771961709372858,0,0,False,False,False,False,1.0
2026-07-13 09:00:46,1783900846.823133,6278.0,6279.500179986324,6313.941176470588,6327.164218771856,0.6891854980650534,0.0,0.0,0.0,-0.005454754094417528,-0.007533238768186135,0,0,False,False,False,False,1.0
2026-07-13 09:00:48,1783900848.8200548,6281.0,6280.925152988375,6312.111111111111,6326.628093460528,0.662203575224919,0.0,0.0,0.0,-0.004940654176356335,-0.007223901863204807,0,0,False,False,False,False,1.0
