THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
2.5,0.1
5.0,0.1
10.0,0.1
12.5,0.1
15.0,0.1
17.5,0.1
20.0,0.1
2.5,0.2
5.0,0.2
10.0,0.2
12.5,0.2
15.0,0.2
17.5,0.2
20.0,0.2
2.5,0.3
5.0,0.3
10.0,0.3
12.5,0.3
15.0,0.3
17.5,0.3
20.0,0.3
2.5,0.4
5.0,0.4
10.0,0.4
12.5,0.4
15.0,0.4
17.5,0.4
20.0,0.4
2.5,0.5
5.0,0.5
10.0,0.5
12.5,0.5
15.0,0.5
17.5,0.5
20.0,0.5
2.5,0.6
5.0,0.6
10.0,0.6
12.5,0.6
15.0,0.6
17.5,0.6
20.0,0.6
2.5,0.7
5.0,0.7
10.0,0.7
12.5,0.7
15.0,0.7
17.5,0.7
20.0,0.7
