THRESHOLD_PM_MIN,THRESHOLD_DDR_MIN
5.0,0.3
10.0,0.3
15.0,0.3
20.0,0.3
25.0,0.3
30.0,0.3
5.0,0.4
10.0,0.4
15.0,0.4
20.0,0.4
25.0,0.4
30.0,0.4
5.0,0.5
10.0,0.5
15.0,0.5
20.0,0.5
25.0,0.5
30.0,0.5
5.0,0.6
10.0,0.6
15.0,0.6
20.0,0.6
25.0,0.6
30.0,0.6
5.0,0.7
10.0,0.7
15.0,0.7
20.0,0.7
25.0,0.7
30.0,0.7
5.0,0.8
10.0,0.8
15.0,0.8
20.0,0.8
25.0,0.8
30.0,0.8
