THRESHOLD_SLOPE,TURBULENCE
0.02,10
0.04,10
0.06,10
0.08,10
0.10,10
0.12,10
0.14,10
0.16,10
0.18,10
0.20,10
0.22,10
0.24,10
0.26,10
0.28,10
0.30,10
0.02,15
0.04,15
0.06,15
0.08,15
0.10,15
0.12,15
0.14,15
0.16,15
0.18,15
0.20,15
0.22,15
0.24,15
0.26,15
0.28,15
0.30,15
0.02,20
0.04,20
0.06,20
0.08,20
0.10,20
0.12,20
0.14,20
0.16,20
0.18,20
0.20,20
0.22,20
0.24,20
0.26,20
0.28,20
0.30,20
0.02,25
0.04,25
0.06,25
0.08,25
0.10,25
0.12,25
0.14,25
0.16,25
0.18,25
0.20,25
0.22,25
0.24,25
0.26,25
0.28,25
0.30,25
0.02,30
0.04,30
0.06,30
0.08,30
0.10,30
0.12,30
0.14,30
0.16,30
0.18,30
0.20,30
0.22,30
0.24,30
0.26,30
0.28,30
0.30,30
0.02,35
0.04,35
0.06,35
0.08,35
0.10,35
0.12,35
0.14,35
0.16,35
0.18,35
0.20,35
0.22,35
0.24,35
0.26,35
0.28,35
0.30,35
0.02,40
0.04,40
0.06,40
0.08,40
0.10,40
0.12,40
0.14,40
0.16,40
0.18,40
0.20,40
0.22,40
0.24,40
0.26,40
0.28,40
0.30,40
0.02,45
0.04,45
0.06,45
0.08,45
0.10,45
0.12,45
0.14,45
0.16,45
0.18,45
0.20,45
0.22,45
0.24,45
0.26,45
0.28,45
0.30,45
0.02,50
0.04,50
0.06,50
0.08,50
0.10,50
0.12,50
0.14,50
0.16,50
0.18,50
0.20,50
0.22,50
0.24,50
0.26,50
0.28,50
0.30,50
0.02,55
0.04,55
0.06,55
0.08,55
0.10,55
0.12,55
0.14,55
0.16,55
0.18,55
0.20,55
0.22,55
0.24,55
0.26,55
0.28,55
0.30,55
0.02,60
0.04,60
0.06,60
0.08,60
0.10,60
0.12,60
0.14,60
0.16,60
0.18,60
0.20,60
0.22,60
0.24,60
0.26,60
0.28,60
0.30,60
0.02,65
0.04,65
0.06,65
0.08,65
0.10,65
0.12,65
0.14,65
0.16,65
0.18,65
0.20,65
0.22,65
0.24,65
0.26,65
0.28,65
0.30,65
0.02,70
0.04,70
0.06,70
0.08,70
0.10,70
0.12,70
0.14,70
0.16,70
0.18,70
0.20,70
0.22,70
0.24,70
0.26,70
0.28,70
0.30,70
0.02,75
0.04,75
0.06,75
0.08,75
0.10,75
0.12,75
0.14,75
0.16,75
0.18,75
0.20,75
0.22,75
0.24,75
0.26,75
0.28,75
0.30,75
0.02,75
0.04,75
0.06,75
0.08,75
0.10,75
0.12,75
0.14,75
0.16,75
0.18,75
0.20,75
0.22,75
0.24,75
0.26,75
0.28,75
0.30,75
