PERIOD_WARMUP,BAND_VWAP,PERIOD_MA_1,PERIOD_RSI,PERIOD_MOM,DD_PROFIT,DD_RATIO,LOSSCUT_1,N_MINUS_MAX
150,3,30,159,150,10,0.1,-10,300
150,3,30,159,150,10,0.2,-10,300
150,3,30,159,150,10,0.3,-10,300
150,3,30,159,150,10,0.4,-10,300
150,3,30,159,150,10,0.5,-10,300
150,3,30,159,150,10,0.6,-10,300
150,3,30,159,150,10,0.7,-10,300
150,3,30,159,150,10,0.8,-10,300
150,3,30,159,150,10,0.9,-10,300
150,3,30,159,150,20,0.1,-10,300
150,3,30,159,150,20,0.2,-10,300
150,3,30,159,150,20,0.3,-10,300
150,3,30,159,150,20,0.4,-10,300
150,3,30,159,150,20,0.5,-10,300
150,3,30,159,150,20,0.6,-10,300
150,3,30,159,150,20,0.7,-10,300
150,3,30,159,150,20,0.8,-10,300
150,3,30,159,150,20,0.9,-10,300
150,3,30,159,150,30,0.1,-10,300
150,3,30,159,150,30,0.2,-10,300
150,3,30,159,150,30,0.3,-10,300
150,3,30,159,150,30,0.4,-10,300
150,3,30,159,150,30,0.5,-10,300
150,3,30,159,150,30,0.6,-10,300
150,3,30,159,150,30,0.7,-10,300
150,3,30,159,150,30,0.8,-10,300
150,3,30,159,150,30,0.9,-10,300
150,3,30,159,150,40,0.1,-10,300
150,3,30,159,150,40,0.2,-10,300
150,3,30,159,150,40,0.3,-10,300
150,3,30,159,150,40,0.4,-10,300
150,3,30,159,150,40,0.5,-10,300
150,3,30,159,150,40,0.6,-10,300
150,3,30,159,150,40,0.7,-10,300
150,3,30,159,150,40,0.8,-10,300
150,3,30,159,150,40,0.9,-10,300
150,3,30,159,150,50,0.1,-10,300
150,3,30,159,150,50,0.2,-10,300
150,3,30,159,150,50,0.3,-10,300
150,3,30,159,150,50,0.4,-10,300
150,3,30,159,150,50,0.5,-10,300
150,3,30,159,150,50,0.6,-10,300
150,3,30,159,150,50,0.7,-10,300
150,3,30,159,150,50,0.8,-10,300
150,3,30,159,150,50,0.9,-10,300
150,3,30,159,150,60,0.1,-10,300
150,3,30,159,150,60,0.2,-10,300
150,3,30,159,150,60,0.3,-10,300
150,3,30,159,150,60,0.4,-10,300
150,3,30,159,150,60,0.5,-10,300
150,3,30,159,150,60,0.6,-10,300
150,3,30,159,150,60,0.7,-10,300
150,3,30,159,150,60,0.8,-10,300
150,3,30,159,150,60,0.9,-10,300
150,3,30,159,150,70,0.1,-10,300
150,3,30,159,150,70,0.2,-10,300
150,3,30,159,150,70,0.3,-10,300
150,3,30,159,150,70,0.4,-10,300
150,3,30,159,150,70,0.5,-10,300
150,3,30,159,150,70,0.6,-10,300
150,3,30,159,150,70,0.7,-10,300
150,3,30,159,150,70,0.8,-10,300
150,3,30,159,150,70,0.9,-10,300
150,5,30,159,150,10,0.1,-10,300
150,5,30,159,150,10,0.2,-10,300
150,5,30,159,150,10,0.3,-10,300
150,5,30,159,150,10,0.4,-10,300
150,5,30,159,150,10,0.5,-10,300
150,5,30,159,150,10,0.6,-10,300
150,5,30,159,150,10,0.7,-10,300
150,5,30,159,150,10,0.8,-10,300
150,5,30,159,150,10,0.9,-10,300
150,5,30,159,150,20,0.1,-10,300
150,5,30,159,150,20,0.2,-10,300
150,5,30,159,150,20,0.3,-10,300
150,5,30,159,150,20,0.4,-10,300
150,5,30,159,150,20,0.5,-10,300
150,5,30,159,150,20,0.6,-10,300
150,5,30,159,150,20,0.7,-10,300
150,5,30,159,150,20,0.8,-10,300
150,5,30,159,150,20,0.9,-10,300
150,5,30,159,150,30,0.1,-10,300
150,5,30,159,150,30,0.2,-10,300
150,5,30,159,150,30,0.3,-10,300
150,5,30,159,150,30,0.4,-10,300
150,5,30,159,150,30,0.5,-10,300
150,5,30,159,150,30,0.6,-10,300
150,5,30,159,150,30,0.7,-10,300
150,5,30,159,150,30,0.8,-10,300
150,5,30,159,150,30,0.9,-10,300
150,5,30,159,150,40,0.1,-10,300
150,5,30,159,150,40,0.2,-10,300
150,5,30,159,150,40,0.3,-10,300
150,5,30,159,150,40,0.4,-10,300
150,5,30,159,150,40,0.5,-10,300
150,5,30,159,150,40,0.6,-10,300
150,5,30,159,150,40,0.7,-10,300
150,5,30,159,150,40,0.8,-10,300
150,5,30,159,150,40,0.9,-10,300
150,5,30,159,150,50,0.1,-10,300
150,5,30,159,150,50,0.2,-10,300
150,5,30,159,150,50,0.3,-10,300
150,5,30,159,150,50,0.4,-10,300
150,5,30,159,150,50,0.5,-10,300
150,5,30,159,150,50,0.6,-10,300
150,5,30,159,150,50,0.7,-10,300
150,5,30,159,150,50,0.8,-10,300
150,5,30,159,150,50,0.9,-10,300
150,5,30,159,150,60,0.1,-10,300
150,5,30,159,150,60,0.2,-10,300
150,5,30,159,150,60,0.3,-10,300
150,5,30,159,150,60,0.4,-10,300
