file,code,trade,PERIOD_MA_1,PERIOD_MA_2,total
ticks_20250908.xlsx,7011,28,30,300,9.0
ticks_20250908.xlsx,7011,22,60,300,-6.0
ticks_20250908.xlsx,7011,14,90,300,-11.0
ticks_20250908.xlsx,7011,12,120,300,-2.0
ticks_20250908.xlsx,7011,14,150,300,39.0
ticks_20250908.xlsx,7011,20,30,400,21.0
ticks_20250908.xlsx,7011,14,60,400,8.0
ticks_20250908.xlsx,7011,8,90,400,4.0
ticks_20250908.xlsx,7011,8,120,400,-7.0
ticks_20250908.xlsx,7011,4,150,400,46.0
ticks_20250908.xlsx,7011,16,30,500,31.0
ticks_20250908.xlsx,7011,10,60,500,4.0
ticks_20250908.xlsx,7011,4,90,500,-3.0
ticks_20250908.xlsx,7011,8,120,500,8.0
ticks_20250908.xlsx,7011,8,150,500,52.0
ticks_20250908.xlsx,7011,12,30,600,25.0
ticks_20250908.xlsx,7011,14,60,600,-2.0
ticks_20250908.xlsx,7011,8,90,600,-8.0
ticks_20250908.xlsx,7011,10,120,600,17.0
ticks_20250908.xlsx,7011,8,150,600,48.0
ticks_20250908.xlsx,7011,18,30,700,2.0
ticks_20250908.xlsx,7011,12,60,700,8.0
ticks_20250908.xlsx,7011,6,90,700,-10.0
ticks_20250908.xlsx,7011,10,120,700,15.0
ticks_20250908.xlsx,7011,8,150,700,16.0
