file,code,trade,total,THRESHOLD_SLOPE,TURBULENCE
ticks_20250930.xlsx,7011,64,-3500.0,0.02,10.0
ticks_20250930.xlsx,7011,52,-3800.0,0.04,10.0
ticks_20250930.xlsx,7011,30,-4000.0,0.06,10.0
ticks_20250930.xlsx,7011,28,-3900.0,0.08,10.0
ticks_20250930.xlsx,7011,22,-4400.0,0.1,10.0
ticks_20250930.xlsx,7011,20,-4300.0,0.12,10.0
ticks_20250930.xlsx,7011,14,-2300.0,0.14,10.0
ticks_20250930.xlsx,7011,8,-900.0,0.16,10.0
ticks_20250930.xlsx,7011,6,-600.0,0.18,10.0
ticks_20250930.xlsx,7011,0,0.0,0.2,10.0
ticks_20250930.xlsx,7011,0,0.0,0.22,10.0
ticks_20250930.xlsx,7011,0,0.0,0.24,10.0
ticks_20250930.xlsx,7011,0,0.0,0.26,10.0
ticks_20250930.xlsx,7011,0,0.0,0.28,10.0
ticks_20250930.xlsx,7011,0,0.0,0.3,10.0
ticks_20250930.xlsx,7011,70,-2100.0,0.02,15.0
ticks_20250930.xlsx,7011,58,-2400.0,0.04,15.0
ticks_20250930.xlsx,7011,36,-2600.0,0.06,15.0
ticks_20250930.xlsx,7011,34,-2500.0,0.08,15.0
ticks_20250930.xlsx,7011,26,-4700.0,0.1,15.0
ticks_20250930.xlsx,7011,24,-4600.0,0.12,15.0
ticks_20250930.xlsx,7011,18,-2600.0,0.14,15.0
ticks_20250930.xlsx,7011,12,-1200.0,0.16,15.0
ticks_20250930.xlsx,7011,10,-900.0,0.18,15.0
ticks_20250930.xlsx,7011,4,-300.0,0.2,15.0
ticks_20250930.xlsx,7011,2,300.0,0.22,15.0
ticks_20250930.xlsx,7011,2,300.0,0.24,15.0
ticks_20250930.xlsx,7011,2,300.0,0.26,15.0
ticks_20250930.xlsx,7011,2,300.0,0.28,15.0
ticks_20250930.xlsx,7011,0,0.0,0.3,15.0
ticks_20250930.xlsx,7011,70,-2100.0,0.02,20.0
ticks_20250930.xlsx,7011,58,-2400.0,0.04,20.0
ticks_20250930.xlsx,7011,36,-2600.0,0.06,20.0
ticks_20250930.xlsx,7011,34,-2500.0,0.08,20.0
ticks_20250930.xlsx,7011,26,-4700.0,0.1,20.0
ticks_20250930.xlsx,7011,24,-4600.0,0.12,20.0
ticks_20250930.xlsx,7011,18,-2600.0,0.14,20.0
ticks_20250930.xlsx,7011,12,-1200.0,0.16,20.0
ticks_20250930.xlsx,7011,10,-900.0,0.18,20.0
ticks_20250930.xlsx,7011,4,-300.0,0.2,20.0
ticks_20250930.xlsx,7011,2,300.0,0.22,20.0
ticks_20250930.xlsx,7011,2,300.0,0.24,20.0
ticks_20250930.xlsx,7011,2,300.0,0.26,20.0
ticks_20250930.xlsx,7011,2,300.0,0.28,20.0
ticks_20250930.xlsx,7011,0,0.0,0.3,20.0
ticks_20250930.xlsx,7011,72,-800.0,0.02,25.0
ticks_20250930.xlsx,7011,60,-1100.0,0.04,25.0
ticks_20250930.xlsx,7011,38,-1300.0,0.06,25.0
ticks_20250930.xlsx,7011,36,-1200.0,0.08,25.0
ticks_20250930.xlsx,7011,28,-3400.0,0.1,25.0
