file,code,trade,total,THRESHOLD_SLOPE,TURBULENCE
ticks_20251022.xlsx,7011,72,3600.0,0.02,10.0
ticks_20251022.xlsx,7011,66,4500.0,0.04,10.0
ticks_20251022.xlsx,7011,52,1500.0,0.06,10.0
ticks_20251022.xlsx,7011,38,2900.0,0.08,10.0
ticks_20251022.xlsx,7011,24,1400.0,0.1,10.0
ticks_20251022.xlsx,7011,14,-200.0,0.12,10.0
ticks_20251022.xlsx,7011,10,-200.0,0.14,10.0
ticks_20251022.xlsx,7011,2,-700.0,0.16,10.0
ticks_20251022.xlsx,7011,0,0.0,0.18,10.0
ticks_20251022.xlsx,7011,0,0.0,0.2,10.0
ticks_20251022.xlsx,7011,0,0.0,0.22,10.0
ticks_20251022.xlsx,7011,0,0.0,0.24,10.0
ticks_20251022.xlsx,7011,0,0.0,0.26,10.0
ticks_20251022.xlsx,7011,0,0.0,0.28,10.0
ticks_20251022.xlsx,7011,0,0.0,0.3,10.0
ticks_20251022.xlsx,7011,86,2200.0,0.02,15.0
ticks_20251022.xlsx,7011,80,3100.0,0.04,15.0
ticks_20251022.xlsx,7011,66,200.0,0.06,15.0
ticks_20251022.xlsx,7011,52,1600.0,0.08,15.0
ticks_20251022.xlsx,7011,36,200.0,0.1,15.0
ticks_20251022.xlsx,7011,26,-1400.0,0.12,15.0
ticks_20251022.xlsx,7011,22,-1400.0,0.14,15.0
ticks_20251022.xlsx,7011,14,-1900.0,0.16,15.0
ticks_20251022.xlsx,7011,10,-2900.0,0.18,15.0
ticks_20251022.xlsx,7011,10,-2900.0,0.2,15.0
ticks_20251022.xlsx,7011,10,-2900.0,0.22,15.0
ticks_20251022.xlsx,7011,8,-2300.0,0.24,15.0
ticks_20251022.xlsx,7011,4,-1400.0,0.26,15.0
ticks_20251022.xlsx,7011,0,0.0,0.28,15.0
ticks_20251022.xlsx,7011,0,0.0,0.3,15.0
ticks_20251022.xlsx,7011,88,400.0,0.02,20.0
ticks_20251022.xlsx,7011,82,1300.0,0.04,20.0
ticks_20251022.xlsx,7011,68,-1600.0,0.06,20.0
ticks_20251022.xlsx,7011,54,-200.0,0.08,20.0
ticks_20251022.xlsx,7011,38,-1600.0,0.1,20.0
ticks_20251022.xlsx,7011,28,-3200.0,0.12,20.0
ticks_20251022.xlsx,7011,24,-3200.0,0.14,20.0
ticks_20251022.xlsx,7011,16,-3700.0,0.16,20.0
ticks_20251022.xlsx,7011,12,-4700.0,0.18,20.0
ticks_20251022.xlsx,7011,12,-4700.0,0.2,20.0
ticks_20251022.xlsx,7011,12,-4700.0,0.22,20.0
ticks_20251022.xlsx,7011,10,-4100.0,0.24,20.0
ticks_20251022.xlsx,7011,6,-3200.0,0.26,20.0
ticks_20251022.xlsx,7011,2,-1800.0,0.28,20.0
ticks_20251022.xlsx,7011,2,-1800.0,0.3,20.0
ticks_20251022.xlsx,7011,90,-900.0,0.02,25.0
