file,code,trade,total,THRESHOLD_SLOPE,TURBULENCE
ticks_20260116.xlsx,285A,14,500.0,0.02,10.0
ticks_20260116.xlsx,285A,14,500.0,0.04,10.0
ticks_20260116.xlsx,285A,12,500.0,0.06,10.0
ticks_20260116.xlsx,285A,12,500.0,0.08,10.0
ticks_20260116.xlsx,285A,12,500.0,0.1,10.0
ticks_20260116.xlsx,285A,12,500.0,0.12,10.0
ticks_20260116.xlsx,285A,8,-500.0,0.14,10.0
ticks_20260116.xlsx,285A,6,1500.0,0.16,10.0
ticks_20260116.xlsx,285A,4,-1500.0,0.18,10.0
ticks_20260116.xlsx,285A,4,-1500.0,0.2,10.0
ticks_20260116.xlsx,285A,4,-1500.0,0.22,10.0
ticks_20260116.xlsx,285A,4,-1500.0,0.24,10.0
ticks_20260116.xlsx,285A,2,-500.0,0.26,10.0
ticks_20260116.xlsx,285A,2,-500.0,0.28,10.0
ticks_20260116.xlsx,285A,0,0.0,0.3,10.0
ticks_20260116.xlsx,285A,24,8500.0,0.02,15.0
ticks_20260116.xlsx,285A,24,8500.0,0.04,15.0
ticks_20260116.xlsx,285A,22,8500.0,0.06,15.0
ticks_20260116.xlsx,285A,22,8500.0,0.08,15.0
ticks_20260116.xlsx,285A,22,8500.0,0.1,15.0
ticks_20260116.xlsx,285A,22,8500.0,0.12,15.0
ticks_20260116.xlsx,285A,18,7500.0,0.14,15.0
ticks_20260116.xlsx,285A,16,9500.0,0.16,15.0
ticks_20260116.xlsx,285A,14,6500.0,0.18,15.0
ticks_20260116.xlsx,285A,12,8000.0,0.2,15.0
ticks_20260116.xlsx,285A,12,8000.0,0.22,15.0
ticks_20260116.xlsx,285A,12,8000.0,0.24,15.0
ticks_20260116.xlsx,285A,8,9500.0,0.26,15.0
ticks_20260116.xlsx,285A,8,9500.0,0.28,15.0
ticks_20260116.xlsx,285A,6,10000.0,0.3,15.0
ticks_20260116.xlsx,285A,34,2000.0,0.02,20.0
ticks_20260116.xlsx,285A,34,2000.0,0.04,20.0
ticks_20260116.xlsx,285A,32,2000.0,0.06,20.0
ticks_20260116.xlsx,285A,32,2000.0,0.08,20.0
ticks_20260116.xlsx,285A,32,2000.0,0.1,20.0
ticks_20260116.xlsx,285A,32,2000.0,0.12,20.0
ticks_20260116.xlsx,285A,26,3000.0,0.14,20.0
ticks_20260116.xlsx,285A,24,5000.0,0.16,20.0
