,ts,price,ma1,ma2,vwap,momentum,profit,profit_max,dd_ratio,diff_ma,diff_vwap,n_trade,count_negative,vwap_gc,vwap_dc,warmup
2026-06-03 09:03:01,1780444981.3565214,8787.0,8787.0,8787.0,8787.0,0.0,0.0,0.0,0.0,0,0.0,0,0,False,False,1.0
2026-06-03 09:03:03,1780444983.345863,8738.0,8762.5,8762.5,8738.0,-24.5,0.0,0.0,0.0,0,0.28038452735179675,0,0,True,False,1.0
2026-06-03 09:03:05,1780444985.3466394,8705.0,8743.333333333334,8743.333333333334,8722.266666666666,-43.66666666666606,0.0,0.0,0.0,0,0.2415274317073641,0,0,False,False,1.0
2026-06-03 09:03:07,1780444987.3613167,8738.0,8742.0,8742.0,8729.135898019576,-45.0,0.0,0.0,0.0,0,0.1473697068153347,0,0,False,False,1.0
2026-06-03 09:03:09,1780444989.3654094,8723.0,8738.2,8738.2,8728.667577796468,-48.79999999999927,0.0,0.0,0.0,0,0.10920821670171614,0,0,False,False,1.0
2026-06-03 09:03:11,1780444991.3884864,8696.0,8731.166666666666,8731.166666666666,8726.10988372093,-55.83333333333394,0.0,0.0,0.0,0,0.05795002599233398,0,0,False,False,1.0
2026-06-03 09:03:13,1780444993.3778841,8714.0,8728.714285714286,8728.714285714286,8724.76434108527,-58.285714285713766,0.0,0.0,0.0,0,0.04527279448013444,0,0,False,False,1.0
2026-06-03 09:03:15,1780444995.3778844,8709.0,8726.25,8726.25,8724.380168067228,-60.75,0.0,0.0,0.0,0,0.02143226105180745,0,0,False,False,1.0
2026-06-03 09:03:17,1780444997.379792,8731.0,8726.777777777777,8726.777777777777,8724.649145436955,-60.222222222222626,0.0,0.0,0.0,0,0.024397913375524542,0,0,False,False,1.0
2026-06-03 09:03:19,1780444999.3845901,8709.0,8725.0,8725.0,8723.779351301964,-62.0,0.0,0.0,0.0,0,0.013992200500275479,0,0,False,False,1.0
2026-06-03 09:03:21,1780445001.3858223,8696.0,8722.363636363636,8722.363636363636,8723.199493066944,-64.63636363636397,0.0,0.0,0.0,0,-0.009581996880532588,0,0,False,True,1.0
2026-06-03 09:03:23,1780445003.3885105,8693.0,8719.916666666666,8719.916666666666,8720.995577055977,-67.08333333333394,0.0,0.0,0.0,0,-0.01237141310046876,0,0,False,False,1.0
2026-06-03 09:03:25,1780445005.3910413,8696.0,8718.076923076924,8718.076923076924,8720.186572154607,-68.92307692307622,0.0,0.0,0.0,0,-0.02419270574347715,0,0,False,False,1.0
2026-06-03 09:03:27,1780445007.379296,8705.0,8717.142857142857,8717.142857142857,8720.083687566419,-69.85714285714312,0.0,0.0,0.0,0,-0.033724795872720204,0,0,False,False,1.0
2026-06-03 09:03:29,1780445009.3845134,8681.0,8714.733333333334,8714.733333333334,8718.677295428351,-72.26666666666642,0.0,0.0,0.0,0,-0.04523578475700602,0,0,False,False,1.0
2026-06-03 09:03:31,1780445011.3885553,8678.0,8712.4375,8712.4375,8718.097071446604,-74.5625,0.0,0.0,0.0,0,-0.06491750894974582,0,0,False,False,1.0
2026-06-03 09:03:33,1780445013.3767626,8652.0,8708.882352941177,8708.882352941177,8714.874759846301,-78.11764705882342,0.0,0.0,0.0,0,-0.06876067723583172,0,0,False,False,1.0
2026-06-03 09:03:35,1780445015.394442,8646.0,8705.388888888889,8705.388888888889,8710.542477776527,-81.61111111111131,0.0,0.0,0.0,0,-0.05916495902278497,0,0,False,False,1.0
2026-06-03 09:03:37,1780445017.415027,8630.0,8701.421052631578,8701.421052631578,8702.594421906693,-85.57894736842172,0.0,0.0,0.0,0,-0.013482982409949947,0,0,False,False,1.0
2026-06-03 09:03:39,1780445019.429541,8651.0,8698.9,8698.9,8700.452804510547,-88.10000000000036,0.0,0.0,0.0,0,-0.017847398812881183,0,0,False,False,1.0
2026-06-03 09:03:41,1780445021.449317,8628.0,8695.52380952381,8695.52380952381,8695.02535971223,-91.47619047619082,0.0,0.0,0.0,0,0.005732586058790032,0,0,True,False,1.0
2026-06-03 09:03:43,1780445023.46579,8656.0,8693.727272727272,8693.727272727272,8694.190794684502,-93.27272727272793,0.0,0.0,0.0,0,-0.005331398495573668,0,0,False,True,1.0
2026-06-03 09:03:45,1780445025.4665093,8637.0,8691.260869565218,8691.260869565218,8692.691061787642,-95.73913043478206,0.0,0.0,0.0,0,-0.016452813199712334,0,0,False,False,1.0
2026-06-03 09:03:47,1780445027.4692867,8644.0,8689.291666666666,8689.291666666666,8691.482533845896,-97.70833333333394,0.0,0.0,0.0,0,-0.025207059563178907,0,0,False,False,1.0
2026-06-03 09:03:49,1780445029.4567063,8626.0,8686.76,8686.76,8689.231439638477,-100.23999999999978,0.0,0.0,0.0,0,-0.028442557384336962,0,0,False,False,1.0
2026-06-03 09:03:51,1780445031.4558802,8636.0,8684.807692307691,8684.807692307691,8688.868798589405,-102.19230769230853,0.0,0.0,0.0,0,-0.0467391829230137,0,0,False,False,1.0
2026-06-03 09:03:53,1780445033.4716144,8641.0,8683.185185185184,8683.185185185184,8688.121025641025,-103.81481481481569,0.0,0.0,0.0,0,-0.056811368548776484,0,0,False,False,1.0
2026-06-03 09:03:55,1780445035.4758885,8635.0,8681.464285714286,8681.464285714286,8686.804954989613,-105.53571428571377,0.0,0.0,0.0,0,-0.06148024852635052,0,0,False,False,1.0
2026-06-03 09:03:57,1780445037.4946213,8629.0,8679.655172413793,8679.655172413793,8686.359215147351,-107.34482758620652,0.0,0.0,0.0,0,-0.0771789718512588,0,0,False,False,1.0
2026-06-03 09:03:59,1780445039.4996061,8651.0,8678.7,8678.7,8685.482540391631,-108.29999999999927,0.0,0.0,0.0,0,-0.07809054200602382,0,0,False,False,1.0
2026-06-03 09:04:01,1780445041.5171127,8652.0,8674.2,8677.838709677419,8685.032466578523,-112.79999999999927,0.0,0.0,0.0,0,-0.12472568893907203,0,0,False,False,1.0
2026-06-03 09:04:03,1780445043.5367403,8655.0,8671.433333333332,8677.125,8684.653466782709,-115.56666666666752,0.0,0.0,0.0,0,-0.15222407549064915,0,0,False,False,1.0
2026-06-03 09:04:05,1780445045.5528228,8644.0,8669.4,8676.121212121212,8684.075069707585,-117.60000000000036,0.0,0.0,0.0,0,-0.16898828706325322,0,0,False,False,1.0
2026-06-03 09:04:07,1780445047.5579913,8633.0,8665.9,8674.85294117647,8682.724159532261,-121.10000000000036,0.0,0.0,0.0,0,-0.19376591059605727,0,0,False,False,1.0
2026-06-03 09:04:09,1780445049.5592287,8627.0,8662.7,8673.485714285714,8681.891258141926,-124.29999999999927,0.0,0.0,0.0,0,-0.22104928029279222,0,0,False,False,1.0
2026-06-03 09:04:11,1780445051.5487473,8603.0,8659.6,8671.527777777777,8680.213058649846,-127.39999999999964,0.0,0.0,0.0,0,-0.23747180524912062,0,0,False,False,1.0
2026-06-03 09:04:13,1780445053.5650654,8599.0,8655.766666666666,8669.567567567568,8675.991984222916,-131.23333333333358,0.0,0.0,0.0,0,-0.23311821395211518,0,0,False,False,1.0
2026-06-03 09:04:15,1780445055.5680227,8619.0,8652.766666666666,8668.236842105263,8674.501951551949,-134.23333333333358,0.0,0.0,0.0,0,-0.2505652198440489,0,0,False,False,1.0
2026-06-03 09:04:17,1780445057.5678968,8592.0,8648.133333333333,8666.28205128205,8672.667797431548,-138.8666666666668,0.0,0.0,0.0,0,-0.28289408370375735,0,0,False,False,1.0
2026-06-03 09:04:19,1780445059.5719082,8598.0,8644.433333333332,8664.575,8671.893411665968,-142.56666666666752,0.0,0.0,0.0,0,-0.31665608684366464,0,0,False,False,1.0
2026-06-03 09:04:21,1780445061.5737216,8593.0,8641.0,8662.829268292682,8671.385907439395,-146.0,0.0,0.0,0.0,0,-0.35041581315538184,0,0,False,False,1.0
2026-06-03 09:04:23,1780445063.5927212,8588.0,8637.5,8661.047619047618,8670.292852104398,-149.5,0.0,0.0,0.0,0,-0.3782208128810607,0,0,False,False,1.0
2026-06-03 09:04:25,1780445065.5959597,8591.0,8634.0,8659.418604651162,8669.765035618359,-153.0,0.0,0.0,0.0,0,-0.4125260081608155,0,0,False,False,1.0
2026-06-03 09:04:27,1780445067.5960433,8581.0,8629.866666666667,8657.636363636364,8668.337125129266,-157.1333333333332,0.0,0.0,0.0,0,-0.4438043641735498,0,0,False,False,1.0
2026-06-03 09:04:29,1780445069.5965452,8589.0,8626.8,8656.111111111111,8667.369105045116,-160.20000000000073,0.0,0.0,0.0,0,-0.4680671211002466,0,0,False,False,1.0
2026-06-03 09:04:31,1780445071.5966604,8589.0,8623.833333333334,8654.652173913044,8666.817085540404,-163.16666666666606,0.0,0.0,0.0,0,-0.49595776376524314,0,0,False,False,1.0
2026-06-03 09:04:33,1780445073.6101189,8594.0,8621.9,8653.36170212766,8665.658182221483,-165.10000000000036,0.0,0.0,0.0,0,-0.5049608616141579,0,0,False,False,1.0
2026-06-03 09:04:35,1780445075.6119294,8582.0,8619.766666666666,8651.875,8664.37007917008,-167.23333333333358,0.0,0.0,0.0,0,-0.5147911746134157,0,0,False,False,1.0
2026-06-03 09:04:37,1780445077.6242583,8598.0,8618.7,8650.775510204081,8663.699275753972,-168.29999999999927,0.0,0.0,0.0,0,-0.5194002506516491,0,0,False,False,1.0
2026-06-03 09:04:39,1780445079.6255798,8587.0,8616.566666666668,8649.5,8663.229587451655,-170.43333333333248,0.0,0.0,0.0,0,-0.5386319306667892,0,0,False,False,1.0
2026-06-03 09:04:41,1780445081.6250281,8585.0,8615.133333333333,8648.235294117647,8661.95635172268,-171.8666666666668,0.0,0.0,0.0,0,-0.5405593896814596,0,0,False,False,1.0
2026-06-03 09:04:43,1780445083.6267292,8586.0,8612.8,8647.038461538461,8661.406463120344,-174.20000000000073,0.0,0.0,0.0,0,-0.5611844141861636,0,0,False,False,1.0
2026-06-03 09:04:45,1780445085.6407375,8582.0,8610.966666666667,8645.811320754718,8660.8932554988,-176.03333333333285,0.0,0.0,0.0,0,-0.5764600412369124,0,0,False,False,1.0
2026-06-03 09:04:47,1780445087.641338,8586.0,8609.033333333333,8644.703703703704,8659.672169811322,-177.96666666666715,0.0,0.0,0.0,0,-0.5847662069070219,0,0,False,False,1.0
2026-06-03 09:04:49,1780445089.6394935,8581.0,8607.533333333333,8643.545454545454,8659.414860997547,-179.46666666666715,0.0,0.0,0.0,0,-0.5991343352527378,0,0,False,False,1.0
2026-06-03 09:04:51,1780445091.6377199,8573.0,8605.433333333332,8642.285714285714,8658.045818035507,-181.56666666666752,0.0,0.0,0.0,0,-0.6076715901939217,0,0,False,False,1.0
2026-06-03 09:04:53,1780445093.633905,8577.0,8603.3,8641.140350877193,8657.14692131702,-183.70000000000073,0.0,0.0,0.0,0,-0.6219938486250071,0,0,False,False,1.0
2026-06-03 09:04:55,1780445095.6364555,8571.0,8601.166666666666,8639.931034482759,8656.963075090574,-185.83333333333394,0.0,0.0,0.0,0,-0.644526353409733,0,0,False,False,1.0
2026-06-03 09:04:57,1780445097.6370265,8577.0,8599.433333333332,8638.864406779661,8655.913454474212,-187.56666666666752,0.0,0.0,0.0,0,-0.6525033023716872,0,0,False,False,1.0
2026-06-03 09:04:59,1780445099.6400604,8575.0,8596.9,8637.8,8655.296004666083,-190.10000000000036,0.0,0.0,0.0,0,-0.6746852405117261,0,0,False,False,1.0
2026-06-03 09:05:01,1780445101.6571026,8562.0,8593.9,8636.557377049181,8654.074255288531,-193.10000000000036,0.0,0.0,0.0,0,-0.6953286222585734,0,0,False,False,1.0
2026-06-03 09:05:03,1780445103.655942,8580.0,8591.4,8635.645161290322,8652.251251579095,-195.60000000000036,0.0,0.0,0.0,0,-0.7032996362419499,0,0,False,False,1.0
2026-06-03 09:05:05,1780445105.6429718,8577.0,8589.166666666666,8634.714285714286,8651.751115448968,-197.83333333333394,0.0,0.0,0.0,0,-0.7233731986412298,0,0,False,False,1.0
2026-06-03 09:05:07,1780445107.657165,8571.0,8587.1,8633.71875,8651.084858262273,-199.89999999999964,0.0,0.0,0.0,0,-0.7396165834758108,0,0,False,False,1.0
2026-06-03 09:05:09,1780445109.655301,8583.0,8585.633333333333,8632.938461538462,8650.670010995053,-201.3666666666668,0.0,0.0,0.0,0,-0.7518108722105605,0,0,False,False,1.0
2026-06-03 09:05:11,1780445111.667946,8580.0,8584.866666666667,8632.136363636364,8649.18662540366,-202.1333333333332,0.0,0.0,0.0,0,-0.7436532650142796,0,0,False,False,1.0
2026-06-03 09:05:13,1780445113.6861067,8585.0,8584.4,8631.432835820895,8648.666918765015,-202.60000000000036,0.0,0.0,0.0,0,-0.7430846784673302,0,0,False,False,1.0
2026-06-03 09:05:15,1780445115.6853187,8596.0,8583.633333333333,8630.911764705883,8648.211652112552,-203.3666666666668,0.0,0.0,0.0,0,-0.7467245411765979,0,0,False,False,1.0
2026-06-03 09:05:17,1780445117.6865425,8612.0,8584.3,8630.63768115942,8647.540775690417,-202.70000000000073,0.0,0.0,0.0,0,-0.7313151487900157,0,0,False,False,1.0
2026-06-03 09:05:19,1780445119.6780605,8614.0,8584.833333333334,8630.4,8647.387581868321,-202.16666666666606,0.0,0.0,0.0,0,-0.7233889766448025,0,0,False,False,1.0
2026-06-03 09:05:21,1780445121.6874642,8612.0,8585.466666666667,8630.140845070422,8647.121236743073,-201.53333333333285,0.0,0.0,0.0,0,-0.7130068885171263,0,0,False,False,1.0
2026-06-03 09:05:23,1780445123.6848738,8602.0,8585.933333333332,8629.75,8646.946325878595,-201.06666666666752,0.0,0.0,0.0,0,-0.705601610624808,0,0,False,False,1.0
2026-06-03 09:05:25,1780445125.6865659,8607.0,8586.466666666667,8629.438356164384,8646.902131824178,-200.53333333333285,0.0,0.0,0.0,0,-0.6989262077465048,0,0,False,False,1.0
2026-06-03 09:05:27,1780445127.681914,8596.0,8586.966666666667,8628.986486486487,8646.491769373628,-200.03333333333285,0.0,0.0,0.0,0,-0.6884306872042844,0,0,False,False,1.0
2026-06-03 09:05:29,1780445129.6835344,8605.0,8587.5,8628.666666666666,8646.08082243303,-199.5,0.0,0.0,0.0,0,-0.6775419249035604,0,0,False,False,1.0
2026-06-03 09:05:31,1780445131.676043,8586.0,8587.4,8628.105263157895,8645.029932252104,-199.60000000000036,0.0,0.0,0.0,0,-0.666625016960368,0,0,False,False,1.0
2026-06-03 09:05:33,1780445133.6778703,8563.0,8586.366666666667,8627.25974025974,8643.43801586343,-200.6333333333332,0.0,0.0,0.0,0,-0.6602852833793643,0,0,False,False,1.0
2026-06-03 09:05:35,1780445135.6763914,8566.0,8585.833333333334,8626.47435897436,8642.489481010141,-201.16666666666606,0.0,0.0,0.0,0,-0.6555535624462853,0,0,False,False,1.0
2026-06-03 09:05:37,1780445137.691885,8556.0,8584.433333333332,8625.582278481013,8642.123000158403,-202.56666666666752,0.0,0.0,0.0,0,-0.6675404506972739,0,0,False,False,1.0
2026-06-03 09:05:39,1780445139.7038486,8562.0,8583.6,8624.7875,8641.565299461245,-203.39999999999964,0.0,0.0,0.0,0,-0.6707731464444076,0,0,False,False,1.0
2026-06-03 09:05:41,1780445141.701751,8562.0,8582.833333333334,8624.012345679012,8641.021481018592,-204.16666666666606,0.0,0.0,0.0,0,-0.673394318172654,0,0,False,False,1.0
2026-06-03 09:05:43,1780445143.7191682,8552.0,8581.7,8623.134146341463,8641.021481018592,-205.29999999999927,0.0,0.0,0.0,0,-0.6865100514898639,0,0,False,False,1.0
