file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20251201.xlsx,7011,12,90,300,15,4,9.0
ticks_20251127.xlsx,7011,14,30,600,15,4,-23.0
ticks_20251128.xlsx,7011,30,30,600,15,4,-1.0
ticks_20251201.xlsx,7011,20,30,600,15,4,-23.0
ticks_20251127.xlsx,7011,12,60,600,15,4,7.0
ticks_20251128.xlsx,7011,22,60,600,15,4,9.0
ticks_20251201.xlsx,7011,16,60,600,15,4,-33.0
ticks_20251127.xlsx,7011,16,90,600,15,4,-18.0
ticks_20251128.xlsx,7011,14,90,600,15,4,-39.0
ticks_20251201.xlsx,7011,12,90,600,15,4,-17.0
ticks_20251127.xlsx,7011,12,30,900,15,4,-11.0
ticks_20251128.xlsx,7011,22,30,900,15,4,6.0
ticks_20251201.xlsx,7011,12,30,900,15,4,-2.0
ticks_20251127.xlsx,7011,8,60,900,15,4,-5.0
ticks_20251128.xlsx,7011,14,60,900,15,4,11.0
ticks_20251201.xlsx,7011,8,60,900,15,4,4.0
ticks_20251127.xlsx,7011,6,90,900,15,4,-4.0
ticks_20251128.xlsx,7011,14,90,900,15,4,-14.0
ticks_20251201.xlsx,7011,4,90,900,15,4,28.0
ticks_20251127.xlsx,7011,66,30,300,30,4,-18.0
ticks_20251128.xlsx,7011,64,30,300,30,4,20.0
ticks_20251201.xlsx,7011,66,30,300,30,4,-25.0
ticks_20251127.xlsx,7011,38,60,300,30,4,-30.0
ticks_20251128.xlsx,7011,48,60,300,30,4,8.0
ticks_20251201.xlsx,7011,48,60,300,30,4,15.0
ticks_20251127.xlsx,7011,26,90,300,30,4,-36.0
ticks_20251128.xlsx,7011,34,90,300,30,4,-14.0
ticks_20251201.xlsx,7011,36,90,300,30,4,16.0
ticks_20251127.xlsx,7011,42,30,600,30,4,-55.0
ticks_20251128.xlsx,7011,50,30,600,30,4,-11.0
ticks_20251201.xlsx,7011,50,30,600,30,4,-21.0
ticks_20251127.xlsx,7011,26,60,600,30,4,-3.0
ticks_20251128.xlsx,7011,36,60,600,30,4,-28.0
ticks_20251201.xlsx,7011,28,60,600,30,4,-21.0
ticks_20251127.xlsx,7011,26,90,600,30,4,-19.0
ticks_20251128.xlsx,7011,24,90,600,30,4,-50.0
ticks_20251201.xlsx,7011,28,90,600,30,4,10.0
ticks_20251127.xlsx,7011,42,30,900,30,4,-29.0
ticks_20251128.xlsx,7011,38,30,900,30,4,-5.0
ticks_20251201.xlsx,7011,36,30,900,30,4,6.0
ticks_20251127.xlsx,7011,26,60,900,30,4,-41.0
ticks_20251128.xlsx,7011,24,60,900,30,4,-6.0
ticks_20251201.xlsx,7011,22,60,900,30,4,12.0
ticks_20251127.xlsx,7011,14,90,900,30,4,-19.0
ticks_20251128.xlsx,7011,24,90,900,30,4,-43.0
ticks_20251201.xlsx,7011,20,90,900,30,4,4.0
ticks_20251127.xlsx,7011,78,30,300,45,4,-28.0
ticks_20251128.xlsx,7011,88,30,300,45,4,29.0
ticks_20251201.xlsx,7011,82,30,300,45,4,-9.0
ticks_20251127.xlsx,7011,60,60,300,45,4,-45.0
ticks_20251128.xlsx,7011,66,60,300,45,4,-14.0
ticks_20251201.xlsx,7011,60,60,300,45,4,9.0
ticks_20251127.xlsx,7011,38,90,300,45,4,-22.0
ticks_20251128.xlsx,7011,54,90,300,45,4,-17.0
ticks_20251201.xlsx,7011,50,90,300,45,4,24.0
ticks_20251127.xlsx,7011,70,30,600,45,4,-55.0
ticks_20251128.xlsx,7011,60,30,600,45,4,-19.0
ticks_20251201.xlsx,7011,60,30,600,45,4,-35.0
ticks_20251127.xlsx,7011,48,60,600,45,4,-25.0
ticks_20251128.xlsx,7011,46,60,600,45,4,-44.0
ticks_20251201.xlsx,7011,48,60,600,45,4,-33.0
ticks_20251127.xlsx,7011,32,90,600,45,4,-32.0
ticks_20251128.xlsx,7011,36,90,600,45,4,-60.0
ticks_20251201.xlsx,7011,40,90,600,45,4,7.0
ticks_20251127.xlsx,7011,52,30,900,45,4,-40.0
ticks_20251128.xlsx,7011,52,30,900,45,4,-15.0
ticks_20251201.xlsx,7011,48,30,900,45,4,-13.0
ticks_20251127.xlsx,7011,40,60,900,45,4,-24.0
ticks_20251128.xlsx,7011,40,60,900,45,4,-23.0
ticks_20251201.xlsx,7011,34,60,900,45,4,-3.0
ticks_20251127.xlsx,7011,26,90,900,45,4,-41.0
ticks_20251128.xlsx,7011,30,90,900,45,4,-47.0
ticks_20251201.xlsx,7011,30,90,900,45,4,2.0
ticks_20251127.xlsx,7011,4,30,300,15,7,-6.0
ticks_20251128.xlsx,7011,2,30,300,15,7,1.0
ticks_20251201.xlsx,7011,2,30,300,15,7,-9.0
ticks_20251127.xlsx,7011,2,60,300,15,7,12.0
ticks_20251128.xlsx,7011,4,60,300,15,7,2.0
ticks_20251201.xlsx,7011,4,60,300,15,7,8.0
ticks_20251127.xlsx,7011,0,90,300,15,7,0.0
ticks_20251128.xlsx,7011,6,90,300,15,7,-13.0
ticks_20251201.xlsx,7011,0,90,300,15,7,0.0
ticks_20251127.xlsx,7011,2,30,600,15,7,-10.0
ticks_20251128.xlsx,7011,2,30,600,15,7,8.0
ticks_20251201.xlsx,7011,2,30,600,15,7,-5.0
ticks_20251127.xlsx,7011,2,60,600,15,7,8.0
ticks_20251128.xlsx,7011,6,60,600,15,7,-11.0
ticks_20251201.xlsx,7011,4,60,600,15,7,-8.0
ticks_20251127.xlsx,7011,2,90,600,15,7,-11.0
ticks_20251128.xlsx,7011,6,90,600,15,7,-40.0
ticks_20251201.xlsx,7011,2,90,600,15,7,-2.0
ticks_20251127.xlsx,7011,0,30,900,15,7,0.0
ticks_20251128.xlsx,7011,0,30,900,15,7,0.0
ticks_20251201.xlsx,7011,2,30,900,15,7,-5.0
ticks_20251127.xlsx,7011,2,60,900,15,7,6.0
ticks_20251128.xlsx,7011,4,60,900,15,7,-2.0
ticks_20251201.xlsx,7011,2,60,900,15,7,0.0
ticks_20251127.xlsx,7011,0,90,900,15,7,0.0
ticks_20251128.xlsx,7011,6,90,900,15,7,-22.0
ticks_20251201.xlsx,7011,0,90,900,15,7,0.0
ticks_20251127.xlsx,7011,10,30,300,30,7,-12.0
ticks_20251128.xlsx,7011,8,30,300,30,7,13.0
ticks_20251201.xlsx,7011,20,30,300,30,7,-28.0
ticks_20251127.xlsx,7011,14,60,300,30,7,-24.0
ticks_20251128.xlsx,7011,10,60,300,30,7,14.0
ticks_20251201.xlsx,7011,16,60,300,30,7,2.0
ticks_20251127.xlsx,7011,2,90,300,30,7,11.0
ticks_20251128.xlsx,7011,12,90,300,30,7,-25.0
ticks_20251201.xlsx,7011,12,90,300,30,7,6.0
ticks_20251127.xlsx,7011,6,30,600,30,7,-14.0
ticks_20251128.xlsx,7011,8,30,600,30,7,-7.0
ticks_20251201.xlsx,7011,20,30,600,30,7,-21.0
ticks_20251127.xlsx,7011,10,60,600,30,7,-11.0
