file,trade,total
ticks_20250819.xlsx,40,92.0
ticks_20250820.xlsx,53,18.0
ticks_20250821.xlsx,55,3.0
ticks_20250822.xlsx,63,-38.0
ticks_20250825.xlsx,43,-2.0
ticks_20250826.xlsx,35,-21.0
ticks_20250827.xlsx,48,38.0
ticks_20250828.xlsx,44,7.0
ticks_20250829.xlsx,40,4.0
ticks_20250901.xlsx,41,160.0
ticks_20250902.xlsx,36,-12.0
ticks_20250903.xlsx,45,4.0
ticks_20250904.xlsx,66,27.0
ticks_20250905.xlsx,72,-39.0
ticks_20250908.xlsx,52,-90.0
ticks_20250909.xlsx,52,24.0
ticks_20250910.xlsx,25,-18.0
ticks_20250911.xlsx,65,12.0
ticks_20250912.xlsx,52,-36.0
ticks_20250916.xlsx,52,-27.0
ticks_20250917.xlsx,46,-18.0
ticks_20250918.xlsx,54,-11.0
ticks_20250919.xlsx,62,84.0
ticks_20250922.xlsx,61,41.0
ticks_20250924.xlsx,68,-47.0
ticks_20250925.xlsx,55,-17.0
ticks_20250926.xlsx,49,13.0
ticks_20250929.xlsx,67,-99.0
ticks_20250930.xlsx,58,-63.0
ticks_20251001.xlsx,70,60.0
ticks_20251002.xlsx,74,-20.0
ticks_20251003.xlsx,73,14.0
ticks_20251006.xlsx,75,70.0
ticks_20251007.xlsx,91,93.0
ticks_20251008.xlsx,67,-30.0
ticks_20251009.xlsx,76,-19.0
ticks_20251010.xlsx,73,-3.0
ticks_20251014.xlsx,100,-77.0
ticks_20251015.xlsx,73,-13.0
ticks_20251016.xlsx,87,-61.0
ticks_20251017.xlsx,77,106.0
ticks_20251020.xlsx,55,-31.0
ticks_20251021.xlsx,67,148.0
ticks_20251022.xlsx,91,-14.0
ticks_20251023.xlsx,69,-1.0
ticks_20251024.xlsx,91,-50.0
ticks_20251027.xlsx,60,35.0
ticks_20251028.xlsx,96,-41.0
ticks_20251029.xlsx,100,-152.0
ticks_20251030.xlsx,79,-88.0
ticks_20251031.xlsx,87,-81.0
ticks_20251104.xlsx,75,60.0
ticks_20251105.xlsx,68,279.0
ticks_20251106.xlsx,81,-111.0
ticks_20251107.xlsx,99,70.0
ticks_20251110.xlsx,63,26.0
ticks_20251111.xlsx,81,-93.0
ticks_20251112.xlsx,68,122.0
ticks_20251113.xlsx,79,-59.0
ticks_20251114.xlsx,64,-78.0
ticks_20251117.xlsx,79,-114.0
ticks_20251118.xlsx,75,-1.0
ticks_20251119.xlsx,79,190.0
ticks_20251120.xlsx,89,116.0
ticks_20251121.xlsx,75,150.0
ticks_20251125.xlsx,82,-84.0
